group	name	true	predicted	decision makers
L1323	04072023--s--Lm--st--L1323--p--C04--pos--2--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 78.55553910673206), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 31.22994120676021), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 28.55881328252109), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 14.163026045544903), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 7.210759272490372)]
L1323	04072023--s--Lm--st--L1323--p--C04--pos--3--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 97.63058639442463), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 44.21686096621011), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 30.849315473794007), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 14.19616580866423), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 6.89723292212977)]
L1323	04072023--s--Lm--st--L1323--p--C05--pos--2--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 31.77063806694664), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 30.719071565821036), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 26.10582652000444), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 20.41933282614274), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 5.960572329990604)]
L1323	04072023--s--Lm--st--L1323--p--C05--pos--3--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 45.76001046771637), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 30.50398450272296), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 23.934843603126403), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 21.207194971205315), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 7.828095116832699)]
L1323	04072023--s--Lm--st--L1323--p--C06--pos--2--tm--0--ch--BF	L1323	19115	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 40.80842195608215), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 36.26890895164134), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 34.85383375370639), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 23.42652788942709), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 3.9947149357833673)]
L1323	04072023--s--Lm--st--L1323--p--C06--pos--3--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 83.53829959907993), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 32.98230854324982), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 24.05290364443154), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 15.092524490613384), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 5.671451223021374)]
L1323	04072023--s--Lm--st--L1323--p--C07--pos--1--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 78.7601220407487), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 31.76693068048254), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 28.845027297717177), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 14.502937190367653), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 6.588138661835282)]
L1323	04072023--s--Lm--st--L1323--p--C07--pos--2--tm--0--ch--BF	L1323	19115	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 40.13256302572348), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 36.298258141118964), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 35.92106417361475), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 25.027441765227028), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 4.540313827664492)]
L1323	04072023--s--Lm--st--L1323--p--C07--pos--3--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 29.495755250718883), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 29.120623977066153), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 21.810934761487896), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 16.949062498441073), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 7.300720512755179)]
L1323	04072023--s--Lm--st--L1323--p--C08--pos--2--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 35.719412209499716), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 34.33834611855301), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 30.722220566129632), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 20.1018839172165), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 6.44968367442271)]
L1323	04072023--s--Lm--st--L1323--p--C08--pos--3--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 36.34616139141624), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 28.858598482120147), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 23.503872276435246), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 21.287770445346155), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 7.868956094838589)]
L1323	04072023--s--Lm--st--L1323--p--C09--pos--1--tm--0--ch--BF	L1323	19115	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 38.42718883411143), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 34.91533389156392), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 31.51281808776213), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 24.725714988508415), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 5.068412765724502)]
L1323	04072023--s--Lm--st--L1323--p--C09--pos--2--tm--0--ch--BF	L1323	19115	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 41.39436453036488), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 36.0592160031443), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 35.757319106401056), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 23.69026916664095), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 4.373905067738866)]
