group	name	true	predicted	decision makers
L634	13062023--s--Lm--st--L634--p--C04--pos004--tm--24--ch--Syto9--z--21	L634	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 38.217636122252586), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 33.457284994345), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 24.583673849746024), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 21.341300243450313), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 8.606805952921146), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 5.7639491290788865), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 4.639493741439129), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 2.3981603796298643), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 0.8816800346891018), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.14332338194904115)]
L634	13062023--s--Lm--st--L634--p--C08--pos004--tm--24--ch--Syto9--z--21	L634	L628	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 35.830805561039035), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 32.95248444919625), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 25.05119691412105), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 18.61026385239241), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 11.30675637368507), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 9.162678879314184), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 2.6400440560131417), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 2.0160526466887), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 1.076268607354327), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.9511490924887642)]
L1764	13062023--s--Lm--st--L1764--p--F07--pos004--tm--24--ch--Syto9--z--21	L1764	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 38.12043101655082), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 26.881029215135182), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.786715534016261), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 9.249893553489727), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 6.532304518244342), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 3.4860143331821134), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 1.9656020182936647), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 1.3899915218517895), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.6349860709490495), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 0.1658739319392289)]
L1764	13062023--s--Lm--st--L1764--p--G05--pos004--tm--24--ch--Syto9--z--21	L1764	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 38.63559790501944), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 27.599164172117558), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.925243329684129), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 9.275421200804473), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 6.507873715699502), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 3.5275384105629093), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 2.0909321014285944), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 1.563444690366647), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.5593074857894954), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 0.1658739319392289)]
L394	16052023--s--Lm--st--L394--p--C04--pos004--tm--24--ch--Syto9--z--21	L394	L1764	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 31.659443617128478), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 17.571682666589695), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 11.847886371927181), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.256657690068796), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 7.976929430552919), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 3.251131114680164), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 1.8409826230722002), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 1.0600245934557968), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.9218051285831446)]
L394	16052023--s--Lm--st--L394--p--D04--pos004--tm--24--ch--Syto9--z--21	L394	L1764	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 31.603314213534578), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 17.402396372873586), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 11.788120730429515), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 9.998180350440533), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 7.9525365416640295), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 3.4377030318367425), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 1.3650874927157113), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 1.1057610405243625), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 1.036859420120575)]
L394	16052023--s--Lm--st--L394--p--D06--pos004--tm--24--ch--Syto9--z--21	L394	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 36.3199301689393), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 19.954479970295345), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 9.937419379845043), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 9.227405507774826), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 4.021727093613614), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 2.422672831196004), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 0.9887462675961064), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 0.8783541880294863), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.5648938544631585), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.08215140495867768)]
L394	16052023--s--Lm--st--L394--p--D07--pos004--tm--24--ch--Syto9--z--21	L394	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 36.12282982625611), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 19.454278989491065), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 9.948450894499677), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 9.227405507774826), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 4.021727093613614), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 2.4940424092510485), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 0.9887462675961064), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 0.9534038064347097), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.507888187994895), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.08215140495867768)]
L455	16052023--s--Lm--st--L455--p--F04--pos004--tm--24--ch--Syto9--z--21	L455	L634	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 38.997640905867726), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 33.49075416212783), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 24.203869938603663), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 21.290211577411362), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 7.988991279192957), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 7.231888859095397), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 5.008776934643812), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 2.831406083168404), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 0.245497786202381)]
L455	16052023--s--Lm--st--L455--p--G03--pos004--tm--24--ch--Syto9--z--21	L455	L1764	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 32.561408736547165), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 18.89266611436098), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 16.133827710352048), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.665784885060306), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 8.044125416308962), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 5.8513597005868165), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 1.0553494425079513), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.8215884830123048), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.35527404455735734), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 0.33075148302361884)]
