bazenčki	primeri_mean	primeri_std	točnost RF_mean	točnost RF_std
1	20.0	0.0	0.5349999999999999	0.3666820096521393
2	40.0	0.0	0.6599999999999999	0.3876576853522425
3	60.0	0.0	0.7375	0.3316147681126094
4	80.0	0.0	0.765	0.309797810748081
5	100.0	0.0	0.8699999999999999	0.1938288426761212
6	120.0	0.0	0.8574999999999999	0.20424296774532458
7	140.0	0.0	0.8800000000000001	0.20276568755741914
8	160.0	0.0	0.89	0.16504698218723635
9	180.0	0.0	0.8675	0.1934202481775455
10	200.0	0.0	0.8825	0.17046102787827028
11	220.0	0.0	0.9	0.1653534763828651
12	240.0	0.0	0.8949999999999999	0.16527690611879972
13	260.0	0.0	0.8724999999999999	0.2043668827985839
14	280.0	0.0	0.8825	0.1874377533807025
15	300.0	0.0	0.8925000000000001	0.1854006950405499
16	320.0	0.0	0.9099999999999999	0.17689301637008267
17	340.0	0.0	0.915	0.173643020977456
18	360.0	0.0	0.9075	0.1770181997365657
19	380.0	0.0	0.9125	0.1738433748733088
20	395.0	0.0	0.9025000000000001	0.18278783440115282
