bazenčki	primeri_mean	primeri_std	točnost RF_mean	točnost RF_std
1	20.0	0.0	0.5575	0.3734122505499243
2	40.0	0.0	0.6575	0.3873882035544765
3	60.0	0.0	0.735	0.3394336310288327
4	80.0	0.0	0.7625	0.3135646421555316
5	100.0	0.0	0.8699999999999999	0.20151326243378836
6	120.0	0.0	0.8675	0.19342024817754555
7	140.0	0.0	0.885	0.20069499498656718
8	160.0	0.0	0.8949999999999999	0.16527690611879967
9	180.0	0.0	0.8724999999999999	0.18891763659786118
10	200.0	0.0	0.8800000000000001	0.17888543819998318
11	220.0	0.0	0.8949999999999999	0.16527690611879967
12	240.0	0.0	0.8925000000000001	0.16518114337472745
13	260.0	0.0	0.875	0.2046918029067485
14	280.0	0.0	0.8800000000000001	0.19513059567143382
15	300.0	0.0	0.885	0.18765710717534181
16	320.0	0.0	0.9075	0.18264928002505476
17	340.0	0.0	0.915	0.173643020977456
18	360.0	0.0	0.9075	0.17413438721322844
19	380.0	0.0	0.9099999999999999	0.17400712920066871
20	395.0	0.0	0.9025000000000001	0.18278783440115282
