bazenčki	primeri_mean	primeri_std	točnost RF_mean	točnost RF_std
1	40.0	0.0	0.3825	0.37020307192864954
2	80.0	0.0	0.58875	0.35055885302465595
3	120.0	0.0	0.6174999999999999	0.33600501643455033
4	160.0	0.0	0.6599999999999999	0.3241243646713171
5	200.0	0.0	0.7224999999999999	0.28986008335838226
6	240.0	0.0	0.7462500000000001	0.26984446952985536
7	280.0	0.0	0.75875	0.27389285422859105
8	320.0	0.0	0.77125	0.2565831359625518
9	360.0	0.0	0.7837500000000001	0.24975144877161784
10	400.0	0.0	0.7925	0.24354561258377252
11	440.0	0.0	0.8025	0.24364888646208474
12	480.0	0.0	0.8	0.2487705618694266
13	520.0	0.0	0.8025	0.2415750205754679
14	560.0	0.0	0.8087500000000001	0.23348265662227724
15	600.0	0.0	0.8025	0.2405313823848142
16	640.0	0.0	0.805	0.2297934538809599
17	680.0	0.0	0.8275	0.22147305584519497
18	720.0	0.0	0.84375	0.19895560643855537
19	760.0	0.0	0.83375	0.21888439267908205
20	795.0	0.0	0.8262499999999999	0.21645732508950968
