sampleName	Unnamed: 0	 	Area	Mean	Min	Max
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11	116396	116397	0.087	495.6	384	630
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21	230774	230775	0.087	551.75	411	721
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11	297195	297196	0.087	492.333	458	609
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21	536650	536651	0.087	474.6	453	715
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11	105482	105483	0.087	441.0	394	540
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21	238789	238790	0.087	596.4	407	974
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11	128840	128841	0.087	400.4	369	594
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21	266234	266235	0.087	464.6	437	797
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11	177706	177707	0.087	438.0	401	588
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21	408430	408431	0.087	540.667	453	734
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11	50333	50334	0.087	461.5	346	630
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21	154326	154327	0.087	417.5	376	507
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11	51277	51278	0.087	486.0	355	608
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21	128707	128708	0.087	445.75	414	541
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11	52976	52977	0.087	463.0	372	639
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21	126964	126965	0.087	447.2	379	704
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3	10599	10600	0.087	362.0	362	417
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11	61881	61882	0.087	395.0	356	492
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21	208623	208624	0.087	488.0	451	525
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11	82947	82948	0.087	416.0	382	504
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21	246515	246516	0.087	417.2	397	516
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11	28759	28760	0.087	474.8	381	645
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21	64241	64242	0.087	454.667	406	602
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11	24525	24526	0.087	473.6	362	625
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21	46276	46277	0.087	461.8	381	629
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11	31183	31184	0.087	475.6	388	561
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6	3141	3142	0.087	478.0	342	582
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21	55579	55580	0.087	601.4	359	743
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11	30970	30971	0.087	494.0	423	626
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21	54259	54260	0.087	475.6	404	639
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11	34354	34355	0.087	468.0	438	694
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21	54608	54609	0.087	473.6	384	589
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11	259279	259280	0.087	444.4	388	792
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21	597872	597873	0.087	470.75	393	634
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11	180088	180089	0.087	441.333	376	557
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21	597872	597873	0.087	470.75	393	634
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11	237036	237037	0.087	483.0	483	517
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21	781549	781550	0.087	459.4	427	597
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11	282074	282075	0.087	404.0	404	439
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21	767547	767548	0.087	429.0	405	556
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11	231847	231848	0.087	455.8	392	581
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21	821927	821928	0.087	449.0	414	580
