sampleName	Unnamed: 0	 	Area	Mean	Min	Max
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11	58198.0	58199.0	0.017	266.0	264.0	267.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21	115387.0	115388.0	0.017	267.0	264.0	268.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11	148597.5	148598.5	0.017	270.0	266.0	272.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21	268325.0	268326.0	0.017	270.0	266.0	272.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11	52741.0	52742.0	0.017	266.0	264.0	267.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21	119394.5	119395.5	0.017	266.5	264.0	268.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11	64420.0	64421.0	0.017	267.0	264.0	268.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21	133117.0	133118.0	0.017	267.0	264.0	268.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11	88853.0	88854.0	0.017	268.0	265.0	270.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21	204215.0	204216.0	0.017	269.0	265.0	270.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11	25166.5	25167.5	0.017	265.0	263.0	266.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21	77163.0	77164.0	0.017	265.0	263.0	266.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11	25638.5	25639.5	0.017	265.0	263.0	266.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21	64353.5	64354.5	0.017	265.0	263.0	266.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11	26488.0	26489.0	0.017	265.0	263.0	266.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21	63482.0	63483.0	0.017	265.0	263.0	266.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3	5299.5	5300.5	0.017	265.0	263.0	265.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11	30940.5	30941.5	0.017	266.0	264.0	267.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21	104311.5	104312.5	0.017	266.0	264.0	267.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11	41473.5	41474.5	0.017	266.0	264.0	267.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21	123257.5	123258.5	0.017	266.0	264.0	267.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11	14379.5	14380.5	0.017	265.667	262.0	267.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21	32120.5	32121.5	0.017	266.5	262.0	269.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11	12262.5	12263.5	0.017	266.0	262.0	267.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21	23138.0	23139.0	0.017	267.0	262.0	269.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11	15591.5	15592.5	0.017	265.0	262.0	266.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6	1570.5	1571.5	0.017	266.5	263.0	269.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21	27789.5	27790.5	0.017	267.0	262.0	269.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11	15485.0	15486.0	0.017	266.0	262.0	268.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21	27129.5	27130.5	0.017	267.0	263.0	269.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11	17177.0	17178.0	0.017	266.0	263.0	267.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21	27304.0	27305.0	0.017	267.0	263.0	270.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11	129639.5	129640.5	0.017	267.5	264.0	269.0
