sampleName	Unnamed: 0	 	Area	Mean	Min	Max
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11	87297.0	87298.0	0.017	275.0	272.0	278.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21	173080.5	173081.5	0.017	275.0	272.0	279.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11	222896.25	222897.25	0.017	281.0	277.0	286.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21	402487.5	402488.5	0.017	281.0	277.0	286.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11	79111.5	79112.5	0.017	275.0	272.0	278.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21	179091.75	179092.75	0.017	275.0	272.0	279.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11	96630.0	96631.0	0.017	276.0	273.0	279.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21	199675.5	199676.5	0.017	276.0	273.0	280.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11	133279.5	133280.5	0.017	278.5	275.0	282.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21	306322.5	306323.5	0.017	279.0	275.0	283.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11	37749.75	37750.75	0.017	272.0	270.0	275.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21	115744.5	115745.5	0.017	272.0	270.0	275.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11	38457.75	38458.75	0.017	273.0	270.0	276.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21	96530.25	96531.25	0.035	273.0	270.0	276.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11	39732.0	39733.0	0.017	272.0	270.0	275.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21	95223.0	95224.0	0.017	272.0	270.0	275.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3	7949.25	7950.25	0.017	272.0	269.0	274.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11	46410.75	46411.75	0.017	274.0	272.0	277.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21	156467.25	156468.25	0.017	274.0	272.0	277.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11	62210.25	62211.25	0.017	274.2	272.0	277.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21	184886.25	184887.25	0.017	275.0	272.0	278.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11	21569.25	21570.25	0.035	273.0	268.0	279.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21	48180.75	48181.75	0.035	274.5	269.0	281.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11	18393.75	18394.75	0.035	273.0	268.0	279.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21	34707.0	34708.0	0.035	275.0	269.0	282.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11	23387.25	23388.25	0.035	273.0	269.0	277.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6	2355.75	2356.75	0.035	274.6	269.75	281.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21	41684.25	41685.25	0.035	275.0	269.0	282.0
