sampleName	Unnamed: 0	 	Label	LabelObj	Compactness(Unit)	Compactness(Pix)	CompactCorr(Pix)	CompactDiscrete(Pix)	Sphericity(Unit)	Sphericity(Pix)	SpherCorr(Pix)	SpherDiscrete(Pix)	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	4084	4085	12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11.lsm	4095	0.192	0.524	inf	0.592	0.577	0.806	inf	0.84	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	4084	4085	12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21.lsm	4095	0.321	0.524	inf	0.503	0.685	0.806	inf	0.796	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	4081	4082	12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11.lsm	4095	0.192	0.524	inf	0.666	0.577	0.806	inf	0.873	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	4084	4085	12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21.lsm	4095	0.08	0.131	inf	0.615	0.431	0.508	inf	0.851	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	4080	4081	12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11.lsm	4095	0.192	0.524	inf	0.499	0.577	0.806	inf	0.793	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	4084	4085	12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21.lsm	4095	0.321	0.524	inf	0.458	0.685	0.806	inf	0.771	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	4079	4080	12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11.lsm	4095	0.192	0.524	inf	0.6	0.577	0.806	inf	0.843	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	4083	4084	12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21.lsm	4095	0.321	0.524	inf	0.464	0.685	0.806	inf	0.774	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	4085	4086	12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11.lsm	4095	0.064	0.175	inf	0.588	0.4	0.559	inf	0.838	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	4085	4086	12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21.lsm	4095	0.04	0.065	inf	0.522	0.342	0.403	inf	0.805	1.0	1.0
