sampleName	Unnamed: 0	 	LabelObj	Compactness(Unit)	Compactness(Pix)	CompactCorr(Pix)	CompactDiscrete(Pix)	Sphericity(Unit)	Sphericity(Pix)	SpherCorr(Pix)	SpherDiscrete(Pix)	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	2042.0	2043.0	2052.9997552019586	0.000509477600244798	0.0014147171605875153		0.001768477149155033	0.06692239902080784	0.09342399020807833		0.08200808229243203	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	2042.0	2043.0	2053.0	0.01240593227882497	0.020236594537821298		0.0021388606142506146	0.14164773561811506	0.16669008567931456		0.08005012285012285	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	2040.5	2041.5	2054.499265066144	0.0004124458348848604	0.001082788704066634		0.0015848095098039217	0.061004899559039684	0.08516315531602156		0.08332622549019608	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	2042.0	2043.0	2053.0	0.00041679055911872706	0.0007174065774785801		0.0018089289840881272	0.06622839657282742	0.077931211750306		0.0964563035495716	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	2040.0	2041.0	2055.0	0.0007768711389365352	0.0021211165057583928		0.0020082792351066438	0.0711266846361186	0.0993004165645675		0.09047732287325325	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	2042.0	2043.0	2053.0	0.005624601063892289	0.009171390210036719		0.002258854665686995	0.11633806609547123	0.1368891064871481		0.08651089884888562	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	2039.5	2040.5	2055.499754901961	0.0004338630620098039	0.0011919020661764707		0.0018167264525619025	0.06269142156862745	0.08751495098039215		0.08909536651139986	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	2041.5	2042.5	2053.4997551420174	0.003308118023751224	0.005400326335210578		0.0020706939260347786	0.10460137120470127	0.12309157688540646		0.08610188586823414	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	2042.5	2043.5	2052.5	0.0004497246693587861	0.0012973482329907001		0.0017593874694077337	0.0690359765051395	0.09637909936368086		0.0837501223690651	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	2042.5	2043.5	2052.5	0.00311588847381302	0.0050900559696524725		0.002123956901615272	0.10248531571218795	0.12061184532550172		0.08832550171316692	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	2041.5	2042.5	2053.5	0.0016557775271792362	0.00452735244784525		0.002115722184133203	0.0892952987267385	0.1246571988246817		0.0818445151811949	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	2040.5	2041.5	2053.5080842724155	0.008027817784664382	0.013085996932141108		0.00241037907775325	0.12415727584517393	0.1461048505634493		0.08693671817512877	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	2041.5	2042.5	2053.5	0.0020907917735063664	0.005704656898628795		0.0022181907933398626	0.09271425073457394	0.12945519098922625		0.08335945151811949	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	1858.0	1859.0	1882.0104923325262	0.03469814875410277	0.05657255456820016		0.003186759146865159	0.176954802259887	0.20822356739305892		0.09305782994560549	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	2040.0	2041.0	2055.0	0.00039708123621661357	0.0010937559186473904		0.002149966274509804	0.06165719186473903	0.08607890222984563		0.09576789215686275	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	1887.0	1888.0	1915.2090066225167	0.047381271660927156	0.07732384025774834		0.003147711716937355	0.21102569536423843	0.24833960264900662		0.08748781902552205	1.0	1.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	2041.0	2042.0	2054.0	0.0008011790952730835	0.0013093634082782268		0.0025538379318794414	0.06872422238550085	0.08086676463384765		0.1044045577064445		
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	2039.5	2040.5	2055.5	0.00041306783357843136	0.0011652200857843137		0.0021199931846040696	0.061336029411764706	0.0856046568627451		0.09550061289531749	1.0	1.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	2035.0	2036.0	2060.0	0.0021321726868091377	0.0034842499975436007		0.0025179451216515115	0.08889707688528617	0.1046057479734709		0.09897616121897272	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	2037.0	2038.0	2058.0	0.00032666465423312883	0.000888880154601227		0.0020669146293568973	0.05642576687116564	0.078759754601227		0.09902503681885125	1.0	1.0
