sampleName	Unnamed: 0	 	LabelObj	Compactness(Unit)	Compactness(Pix)	CompactCorr(Pix)	CompactDiscrete(Pix)	Sphericity(Unit)	Sphericity(Pix)	SpherCorr(Pix)	SpherDiscrete(Pix)	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	2042.0	2043.0	2053.0	0.0002697	0.0007344	34448.332	0.0009215	0.065	0.09	32.538	0.097	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	2042.0	2043.0	2053.0	0.0007231	0.001	16398.11	0.001	0.09	0.106	25.406	0.105	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	2040.5	2041.5	2054.5	0.0002555	0.0006963	50019.954	0.0008785	0.063	0.089	36.845	0.096	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	2042.0	2043.0	2053.0	0.0002534	0.0004126	12598.138	0.001	0.063	0.074	23.269	0.105	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	2040.0	2041.0	2055.0	0.000211	0.0005747	10901.834	0.001	0.06	0.083	22.173	0.107	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	2042.0	2043.0	2053.0	0.0004986	0.0008118	10651.281	0.001	0.079	0.093	22.002	0.108	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	2039.5	2040.5	2055.5	0.0002091	0.0005688	18548.524	0.001	0.059	0.083	26.471	0.102	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	2041.5	2042.5	2053.5	0.00048775	0.0007927	11440.561000000002	0.001	0.079	0.093	22.533	0.107	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	2042.5	2043.5	2052.5	0.0002922	0.0007945	29928.609	0.001	0.066	0.093	31.048	0.1	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	2042.5	2043.5	2052.5	0.00042605	0.00069395	8686.9395	0.001	0.075	0.0885	20.557000000000002	0.109	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	2041.5	2042.5	2053.5	0.0003704	0.001	23279.3575	0.001	0.072	0.1	28.553	0.102	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	2040.5	2041.5	2053.5	0.0004971999999999999	0.0008105	11292.317	0.001	0.079	0.093	22.435	0.108	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	2041.5	2042.5	2053.5	0.0003541	0.0009634	18727.3285	0.001	0.071	0.099	26.555999999999997	0.1045	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	1858.0	1859.0	1871.0	0.0006919	0.001	8912.579	0.002	0.088	0.104	20.733	0.118	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	2040.0	2041.0	2055.0	0.0001887	0.0005138	13503.907	0.001	0.057	0.08	23.813	0.107	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	1887.0	1888.0	1901.0	0.001	0.002	37395.111	0.001	0.114	0.134	33.44	0.114	1.0	1.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	2041.0	2042.0	2054.0	0.0001989	0.0003238	4957.949	0.001	0.058	0.069	17.052	0.114		
