sampleName	Unnamed: 0	 	Label	LabelObj	Compactness(Unit)	Compactness(Pix)	CompactCorr(Pix)	CompactDiscrete(Pix)	Sphericity(Unit)	Sphericity(Pix)	SpherCorr(Pix)	SpherDiscrete(Pix)	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	0	1	12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11.lsm	10	3.202e-06	8.674e-06	0.0002382	0.0	0.015	0.021	0.062	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	0	1	12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21.lsm	11	1.744e-06	2.832e-06	0.006	0.0	0.012	0.014	0.185	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	0	1	12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11.lsm	12	4.441e-06	1.206e-05	0.0001146	0.0	0.016	0.023	0.049	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	0	1	12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21.lsm	11	2.82e-06	4.587e-06	0.0003293	0.0	0.014	0.017	0.069	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	0	1	12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11.lsm	15	4.944e-06	1.337e-05	0.0007082	0.0	0.017	0.024	0.089	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	0	1	12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21.lsm	11	2.462e-06	3.994e-06	0.006	0.0	0.014	0.016	0.184	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	0	1	12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11.lsm	15	5.155e-06	1.395e-05	0.000257	0.0	0.017	0.024	0.064	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	0	1	12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21.lsm	11	2.885e-06	4.68e-06	0.004	0.0	0.014	0.017	0.155	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	0	1	12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11.lsm	10	2.705e-06	7.337e-06	0.0002954	0.0	0.014	0.019	0.067	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	0	1	12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21.lsm	10	2.029e-06	3.3e-06	0.005	0.0	0.013	0.015	0.176	0.0	1.0	1.0
