sampleName	Unnamed: 0	 	LabelObj	Compactness(Unit)	Compactness(Pix)	CompactCorr(Pix)	CompactDiscrete(Pix)	Sphericity(Unit)	Sphericity(Pix)	SpherCorr(Pix)	SpherDiscrete(Pix)	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	3063.0	3064.0	3074.0	0.0006389	0.002	inf	0.002	0.086	0.12	inf	0.121	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	3063.0	3064.0	3074.0	0.008	0.013	inf	0.002	0.199	0.234	inf	0.13	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	3060.75	3061.75	3074.75	0.0004193	0.001		0.002	0.075	0.104		0.118	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	3063.0	3064.0	3074.0	0.0006358	0.001	118423.131	0.002	0.086	0.101	49.107	0.122	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	3060.0	3061.0	3075.0	0.0009474	0.003	inf	0.002	0.098	0.137	inf	0.129	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	3063.0	3064.0	3074.0	0.005	0.007	inf	0.002	0.166	0.196	inf	0.134	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	3059.25	3060.25	3075.25	0.000546475	0.001		0.002	0.082	0.114		0.124	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	3062.25	3063.25	3074.25	0.003	0.005		0.002	0.148	0.174		0.131	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	3063.75	3064.75	3073.75	0.0007312	0.002		0.002	0.09	0.126		0.124	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	3063.75	3064.75	3073.75	0.003	0.005		0.002	0.144	0.169		0.131	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	3062.25	3063.25	3074.25	0.002	0.005		0.002	0.126	0.175		0.132	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	3060.75	3061.75	3073.75	0.005	0.009		0.002	0.174	0.205		0.135	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	3062.25	3063.25	3074.25	0.002	0.006		0.002	0.13225	0.185		0.134	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	2787.0	2788.0	2800.0	0.015	0.025	inf	0.003	0.248	0.292	inf	0.145	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	3060.0	3061.0	3075.0	0.0004962	0.001	343762.56	0.002	0.079	0.111	70.052	0.129	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	2830.5	2831.5	2844.5	0.04	0.065		0.003	0.342	0.403		0.145	1.0	1.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	3061.5	3062.5	3074.5	0.0008444	0.001	114407.062	0.003	0.095	0.111	48.546	0.138		
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	3059.25	3060.25	3075.25	0.0005433	0.001	641407.41725	0.002	0.082	0.114	86.23775	0.131	1.0	1.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	3052.5	3053.5	3077.5	0.002	0.003		0.003	0.128	0.151		0.142	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	3055.5	3056.5	3076.5	0.00036475	0.0009935	159045.35499999998	0.002	0.071	0.1	54.18	0.129	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21_	3052.5	3053.5	3077.5	0.00060405	0.0009842	46892.467000000004	0.003	0.085	0.099	36.060500000000005	0.137	1.0	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11_	2985.75	2986.75	2995.75	0.012	0.033		0.002	0.229	0.32		0.126	1.0	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21_	2166.0	2167.0	2175.0	0.04	0.065	inf	0.003	0.342	0.403	inf	0.149	1.0	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11_	3063.0	3064.0	3074.0	0.003	0.007	inf	0.002	0.137	0.191	inf	0.126	1.0	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21_	2463.75	2464.75	2473.75	0.064	0.105		0.003	0.401	0.471		0.144	1.0	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_	3063.0	3064.0	3074.0	0.001	0.004	inf	0.002	0.111	0.155	inf	0.122	1.0	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6_	2780.25	2781.25	2791.25	0.015	0.04		0.002	0.245	0.343		0.131		
