sampleName	Unnamed: 0	 	LabelObj	Compactness(Unit)	Compactness(Pix)	CompactCorr(Pix)	CompactDiscrete(Pix)	Sphericity(Unit)	Sphericity(Pix)	SpherCorr(Pix)	SpherDiscrete(Pix)	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	1390942.5	1390942.5	1390943.500244787	1.9152564621485693e-05	0.0001428275613590436		9.42638342280887e-05	0.0007405089129504392	0.0014439284155141044		0.004351553339854074	0.0	0.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	1390942.5	1390942.5	1390942.5	0.0009681782029417349	0.0025776697272128783		8.918358942386744e-05	0.015913849189900714	0.022044397073572464		0.005662689057492881	0.0	0.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	1388900.5	1388900.5	1388903.5007346112	1.995202586429952e-05	0.00014866830018884751		0.00011282822317688432	0.0005324934824819458	0.0010391505362802068		0.003650200733972198	0.0	0.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	1390942.5	1390942.5	1390942.5	1.8186895394698694e-06	4.987817764312197e-06		9.733947616850838e-05	0.0006900073227222243	0.000955449478575373		0.0030228069172829573	0.0	0.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	1388220.1666666667	1388220.1666666667	1388220.1666666667	1.9092934181924142e-05	0.00014204413304127377		6.877584618881097e-05	0.001510619976481157	0.0029455303160029027		0.00444702247483222	0.0	0.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	1390942.5	1390942.5	1390942.5	0.00017252271894606944	0.00045816775063508896		6.768577143316477e-05	0.0087504329409212	0.012119868453780294		0.0055801784088685075	0.0	0.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	1387540.0	1387540.0	1387541.0002450866	1.1389679657810059e-05	8.49625629451993e-05		9.429929205146535e-05	0.0007060520960418987	0.0013771549615077764		0.00389170375243431	0.0	0.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	1390261.6666666667	1390261.6666666667	1390262.6669115133	5.9458720080189045e-05	0.00015836689469849848		6.306422589259908e-05	0.005518462657928304	0.007645924014265219		0.005119613820548438	0.0	0.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	1391623.5	1391623.5	1391623.5	1.1782359739524366e-06	9.097640731631181e-06		9.128282393848187e-05	0.0006867186564146277	0.0013394241799475294		0.004240895930217597	0.0	0.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	1391623.5	1391623.5	1391623.5	3.274623753039076e-05	8.722060196557005e-05		7.73219074275448e-05	0.0053408682053715465	0.007404598381073737		0.005004958404582999	0.0	0.0
