sampleName	Unnamed: 0	 	Label	LabelObj	Surface(Pix)	Surface(Unit)	SurfaceCorr(Pix)	SurfaceNbPix	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	4084	4085	12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11.lsm	4095	375878	35141.103	178293.771	100181	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	4084	4085	12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21.lsm	4095	1160500	57633.693	87140.154	197835	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	4081	4082	12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11.lsm	4095	784938	52021.537	523707.291	328038	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	4084	4085	12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21.lsm	4095	703834	34972.389	155847.198	118912	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	4080	4081	12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11.lsm	4095	242750	22681.687	43687.196	41123	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	4084	4085	12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21.lsm	4095	818848	40652.41	54020.808	139253	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	4079	4080	12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11.lsm	4095	269666	21634.066	173514.626	98564	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	4083	4084	12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21.lsm	4095	692568	34381.427	37173.018	117247	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	4085	4086	12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11.lsm	4095	443892	41515.45	142455.81	80338	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	4085	4086	12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21.lsm	4095	990094	49182.373	65695.159	168384	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	4083	4084	18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11.lsm	4095	527220	49279.001	45927.661	90298	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	4081	4082	18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21.lsm	4095	770860	38269.902	54779.361	131300	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	4083	4084	18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11.lsm	4095	407562	38090.901	34697.309	69707	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	3716	3717	18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21.lsm	4095	722076	35856.973	53979.887	123177	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	4080	4081	18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11.lsm	4095	356556	33327.437	143663.65	79874	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	3774	3775	18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21.lsm	4095	944266	46898.261	74970.859	161334	1.0	1.0
