sampleName	Unnamed: 0	 	LabelObj	Surface(Pix)	Surface(Unit)	SurfaceCorr(Pix)	SurfaceNbPix	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	2042.0	2043.0	2052.9997552019586	16694.079804161567	1559.8809926560589	534.3981532435741	2821.363525091799	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	2042.0	2043.0	2053.0	31943.179436964503	1586.6938553243574	1254.758205875153	5390.463402692779	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	2040.5	2041.5	2054.499265066144	16489.838804507595	1537.7510274375306	437.8171560509554	2812.547280744733	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	2042.0	2043.0	2053.0	32009.588739290084	1590.4232217870256	811.5798200734394	5386.669522643819	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	2040.0	2041.0	2055.0	16830.164175447193	1573.9117152658662	369.6367662337662	2826.139181573144	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	2042.0	2043.0	2053.0	32010.860220318238	1589.8093676866586	1049.7137047735619	5390.462178702571	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	2039.5	2040.5	2055.499754901961	16763.520098039215	1566.6769772058824	379.6967803921569	2824.494117647059	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	2041.5	2042.5	2053.4997551420174	32063.772282076396	1592.4927193927522	912.6993993633693	5391.765670910871	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	2042.5	2043.5	2052.5	16714.794909446893	1562.5469613313753	510.73237249143415	2821.2873225648555	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	2042.5	2043.5	2052.5	32005.59667156143	1590.1988509544788	1038.9917090063632	5389.093000489476	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	2041.5	2042.5	2053.5	16735.976003917727	1564.843722331048	642.5332174338884	2824.220861900098	1.0	1.0
