sampleName	Unnamed: 0	 	LabelObj	Surface(Pix)	Surface(Unit)	SurfaceCorr(Pix)	SurfaceNbPix	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	2042.0	2043.0	2053.0	4282.0	400.925	6.667	714.0	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	2042.0	2043.0	2053.0	2678.0	133.179	6.667	447.0	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	2040.5	2041.5	2054.5	4517.0	423.068	13.333	753.0	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	2042.0	2043.0	2053.0	7622.0	378.892	20.0	1271.0	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	2040.0	2041.0	2055.0	5486.0	513.83	13.333	915.0	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	2042.0	2043.0	2053.0	3878.0	192.745	13.333	647.0	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	2039.5	2040.5	2055.5	5529.0	517.781	13.333	922.0	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	2041.5	2042.5	2053.5	3969.0	197.2855	13.333	662.0	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	2042.5	2043.5	2052.5	3958.0	370.6975	6.667	660.0	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	2042.5	2043.5	2052.5	4544.0	225.906	13.333	758.0	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	2041.5	2042.5	2053.5	3127.0	292.7615	6.667	521.5	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	2040.5	2041.5	2053.5	3888.0	193.258	13.333	649.5	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	2041.5	2042.5	2053.5	3261.0	305.387	6.667	543.5	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	1858.0	1859.0	1871.0	2792.0	138.847	13.333	466.0	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	2040.0	2041.0	2055.0	6126.0	573.654	20.0	1022.0	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	1887.0	1888.0	1901.0	1308.0	65.032	6.667	218.0	1.0	1.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	2041.0	2042.0	2054.0	9726.0	483.371	33.333	1623.0		
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	2039.5	2040.5	2055.5	6732.0	630.537	20.0	1123.0	1.0	1.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	2035.0	2036.0	2060.0	6800.0	338.12	26.667	1134.0	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	2037.0	2038.0	2058.0	7274.0	681.044	20.0	1214.0	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21_	2035.0	2036.0	2060.0	12148.0	604.049	40.0	2026.0	1.0	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11_	1990.5	1991.5	2000.5	1152.0	107.883	0.0	192.5	1.0	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21_	1444.0	1445.0	1453.0	1944.0	96.653	13.333	324.0	1.0	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11_	2042.0	2043.0	2053.0	2680.0	250.901	6.667	447.0	1.0	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21_	1642.5	1643.5	1652.5	987.0	49.072500000000005	6.667	164.5	1.0	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_	2042.0	2043.0	2053.0	2530.0	237.082	6.667	422.0	1.0	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6_	1853.5	1854.5	1864.5	1061.0	99.32249999999999	0.0	177.0		
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21_	1709.5	1710.5	1719.5	2569.0	127.6955	13.333	428.5	1.0	1.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11_	2042.5	2043.5	2052.5	1874.0	175.344	6.667	313.0	1.0	1.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21_	1846.5	1847.5	1856.5	1877.0	93.3545	6.667	313.0	1.0	1.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11_	2042.5	2043.5	2052.5	2983.0	279.3905	6.667	498.0	1.0	1.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21_	1926.5	1927.5	1936.5	2464.0	122.572	13.333	411.5	1.0	1.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11_	2041.5	2042.5	2053.5	2538.0	237.679	6.667	423.5	1.0	1.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21_	2040.0	2041.0	2052.0	3002.0	149.191	13.333	503.0	1.0	1.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11_	2042.0	2043.0	2053.0	1892.0	177.03	6.667	316.0	1.0	1.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21_	2040.0	2041.0	2052.0	3002.0	149.191	13.333	503.0	1.0	1.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11_	2038.0	2039.0	2057.0	5628.0	527.052	13.333	939.0	1.0	1.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21_	2041.0	2042.0	2054.0	3610.0	179.452	13.333	602.0	1.0	1.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11_	2042.0	2043.0	2053.0	3866.0	361.891	13.333	645.0	1.0	1.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21_	2037.0	2038.0	2050.0	4060.0	201.826	16.0	678.0	1.0	1.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11_	2036.5	2037.5	2058.5	6677.0	625.1365000000001	20.0	1114.0	1.0	1.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21_	2039.5	2040.5	2055.5	6257.0	311.02549999999997	20.0	1044.0	1.0	1.0
