sampleName	Unnamed: 0	 	Label	LabelObj	Surface(Pix)	Surface(Unit)	SurfaceCorr(Pix)	SurfaceNbPix	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	0	1	12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11.lsm	10	6	0.562	0.0	1	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	0	1	12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21.lsm	11	6	0.298	0.0	1	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	0	1	12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11.lsm	12	6	0.562	0.0	1	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	0	1	12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21.lsm	11	24	1.193	0.0	4	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	0	1	12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11.lsm	15	6	0.562	0.0	1	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	0	1	12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21.lsm	11	6	0.298	0.0	1	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	0	1	12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11.lsm	15	6	0.562	0.0	1	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	0	1	12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21.lsm	11	6	0.298	0.0	1	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	0	1	12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11.lsm	10	18	1.686	0.0	3	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	0	1	12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21.lsm	10	48	2.387	0.0	8	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	0	1	18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11.lsm	12	12	1.124	0.0	2	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	0	1	18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21.lsm	13	6	0.298	0.0	1	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	0	1	18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11.lsm	12	24	2.248	0.0	4	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	0	1	18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21.lsm	13	6	0.298	0.0	1	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	0	1	18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11.lsm	15	6	0.562	0.0	1	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	0	1	18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21.lsm	14	6	0.298	0.0	1	1.0	1.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	0	1	18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3.lsm	13	6	0.298	0.0	1		
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	0	1	18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11.lsm	16	6	0.562	0.0	1	1.0	1.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	0	1	18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21.lsm	25	6	0.298	0.0	1	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	0	1	18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11.lsm	21	6	0.562	0.0	1	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21_	0	1	18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21.lsm	24	12	0.597	0.0	2	1.0	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11_	0	1	25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11.lsm	10	6	0.562	0.0	1	1.0	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21_	0	1	25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21.lsm	9	6	0.298	0.0	1	1.0	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11_	0	1	25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11.lsm	11	36	3.371	0.0	6	1.0	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21_	0	1	25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21.lsm	10	6	0.298	0.0	1	1.0	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_	0	1	25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11.lsm	11	30	2.809	0.0	5	1.0	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6_	0	1	25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6.lsm	11	6	0.562	0.0	1		
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21_	0	1	25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21.lsm	10	6	0.298	0.0	1	1.0	1.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11_	0	1	25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11.lsm	10	6	0.562	0.0	1	1.0	1.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21_	0	1	25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21.lsm	10	6	0.298	0.0	1	1.0	1.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11_	0	1	25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11.lsm	10	6	0.562	0.0	1	1.0	1.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21_	0	1	25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21.lsm	10	6	0.298	0.0	1	1.0	1.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11_	0	1	28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11.lsm	12	24	2.248	0.0	4	1.0	1.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21_	0	1	28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21.lsm	12	6	0.298	0.0	1	1.0	1.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11_	0	1	28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11.lsm	11	12	1.124	0.0	2	1.0	1.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21_	0	1	28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21.lsm	12	6	0.298	0.0	1	1.0	1.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11_	0	1	28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11.lsm	15	6	0.562	0.0	1	1.0	1.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21_	0	1	28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21.lsm	13	18	0.895	0.0	3	1.0	1.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11_	0	1	28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11.lsm	11	6	0.562	0.0	1	1.0	1.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21_	0	1	28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21.lsm	13	6	0.298	0.0	1	1.0	1.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11_	0	1	28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11.lsm	21	6	0.562	0.0	1	1.0	1.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21_	0	1	28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21.lsm	16	6	0.298	0.0	1	1.0	1.0
