sampleName	Unnamed: 0	 	LabelObj	Surface(Pix)	Surface(Unit)	SurfaceCorr(Pix)	SurfaceNbPix	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	3675.6	3676.6	3686.6	25954.399999999998	2429.0114	237.60019999999975	4336.4	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	3675.6	3676.6	3686.6	45258.4	2249.6366	436.0	7562.4	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	3672.9	3673.9	3686.9	30170.600000000002	2823.0955000000004	294.5336000000001	5058.9000000000015	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	3675.6	3676.6	3686.6	51075.19999999998	2538.2839999999987	503.1997999999995	8534.999999999996	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	3672.0	3673.0	3687.0	35736.0	3343.637	362.667	5973.0	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	3675.6	3676.6	3686.6	57381.59999999999	2851.5072	657.3331999999994	9598.8	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	3671.1	3672.1	3687.1	35139.19999999998	3286.6192999999985	353.4663999999999	5896.699999999999	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	3674.7000000000003	3675.7000000000003	3686.7000000000003	58123.600000000064	2888.132800000003	624.5332000000008	9718.20000000001	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	3676.5	3677.5	3686.5	24542.0	2296.9030000000002	214.66649999999998	4100.0	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	3676.5	3677.5	3686.5	49601.0	2465.1634999999997	486.66650000000004	8293.5	1.0	1.0
