sampleName	Unnamed: 0	 	LabelObj	Surface(Pix)	Surface(Unit)	SurfaceCorr(Pix)	SurfaceNbPix	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	1179.3822535548006	1179.3822535548006	1179.3826776092596	47807.782323446954	4462.073892420307	3738.7763165363317	8208.613550141354	0.0	0.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	1179.3822535548006	1179.3822535548006	1179.3822535548006	122167.02380549768	6066.6312775586875	7786.281444970131	20764.52086450739	0.0	0.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	1178.5162281445257	1178.5162281445257	1178.517501242392	41024.42320197358	3753.266086245481	8291.296449802703	8336.380454397728	0.0	0.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	1179.3822535548006	1179.3822535548006	1179.3822535548006	92361.70578391055	4588.54962865187	4403.727897062478	15624.163541394175	0.0	0.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	1178.2275530077654	1178.2275530077654	1178.2275530077654	34303.63242255644	3205.231842298662	1637.3766243161433	5796.017612672344	0.0	0.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	1179.3822535548006	1179.3822535548006	1179.3822535548006	98317.09177291086	4880.843975216875	5429.137756104329	16661.88502494769	0.0	0.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	1177.938877871004	1177.938877871004	1177.939302445201	35455.50684047703	3305.7026417919437	3028.749386472401	6124.948795016064	0.0	0.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	1179.0935784180435	1179.0935784180435	1179.0940025763482	94627.70875974372	4698.116511289573	4244.514511892768	15984.217559614235	0.0	0.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	1179.6709286915568	1179.6709286915568	1179.6709286915568	52150.519778293485	4873.323568252543	3399.879549081881	8889.34054133928	0.0	0.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	1179.6709286915568	1179.6709286915568	1179.6709286915568	109250.28860670351	5427.049044881756	5954.893898994454	18512.57352750221	0.0	0.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	1179.0935784180435	1179.0935784180435	1179.0935784180435	53734.772588654945	5021.068372468971	3955.166237026158	9161.09725685158	0.0	0.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	1178.5162281445257	1178.5162281445257	1178.5301223391677	93688.21331392616	4652.000535150424	5692.870173512853	15906.097935729096	0.0	0.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	1179.0935784180435	1179.0935784180435	1179.0935784180435	45020.68443183598	4207.5444291920885	3143.0750887266704	7663.14787881246	0.0	0.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	1073.1498031495883	1073.1498031495883	1092.0396775379654	91178.41982359515	4528.511224761774	5684.965176699494	15484.161883636514	0.0	0.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	1178.2275530077654	1178.2275530077654	1178.2275530077654	41491.38000810344	3873.5102383567023	3503.920883800606	7134.066326533684	0.0	0.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	1089.8929611052026	1089.8929611052026	1113.3870655982523	106946.07253915996	5311.892425800996	7305.770752541617	18200.826733134247	0.0	0.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	1178.804903281285	1178.804903281285	1178.804903281285	59477.42705908323	2954.7113950600797	3840.763849159355	10102.112744932514		
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	1177.938877871004	1177.938877871004	1177.938877871004	30356.33689722086	2834.2427737397174	2446.120218422467	5211.4675397109	0.0	0.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	1175.340801640103	1175.340801640103	1175.340801640103	55711.99415588825	2768.2856297534286	1939.9274248279946	9377.654273018024	0.0	0.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	1176.4955021871808	1176.4955021871808	1176.4955021871808	30363.935655456364	2816.1011606557076	4569.460259759032	5614.593942618461	0.0	0.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21_	1175.340801640103	1175.340801640103	1175.3412271530462	49543.03595204927	2461.3730605630312	2184.7164761507884	8361.939514784777	0.0	0.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11_	1149.6487144631037	1149.6487144631037	1156.175894174006	97548.37600399628	9112.374803852324	12181.062561026625	16942.102410703872	0.0	0.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21_	834.1267889236025	834.1267889236025	917.7770197425996	246761.57156042173	12256.06772929965	36053.39282311851	43213.403588511654	0.0	0.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11_	1179.3822535548006	1179.3822535548006	1179.3822535548006	79640.24389949732	7439.810640507376	8717.204965575034	13751.998013082468	0.0	0.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21_	948.7308188662718	948.7308188662718	1025.2793175069962	241153.814022382	11978.264476414017	33528.34911274415	42116.19356595385	0.0	0.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_	1179.3822535548006	1179.3822535548006	1179.3822535548006	80350.76370427923	7508.771665225356	7702.796627789667	13808.717664383552	0.0	0.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6_	1070.5517269146783	1070.5517269146783	1087.8922974986363	92970.14450708574	8689.105600358354	9449.218164210928	16009.96679120244		
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21_	987.413287332108	987.413287332108	1008.9933982636533	189559.03209953246	9415.739101112182	21116.666991136914	32760.837833306352	0.0	0.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11_	1179.6709286915568	1179.6709286915568	1179.6709286915568	86897.483355808	8121.185197179777	8834.186621838711	14964.616008444062	0.0	0.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21_	1066.5102749934792	1066.5102749934792	1088.4451660488419	194181.54876934233	9646.557946780615	21681.05277662406	33563.8282691593	0.0	0.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11_	1179.6709286915568	1179.6709286915568	1179.6709286915568	73666.11483752626	6885.079428454547	6550.553248934222	12628.49990375496	0.0	0.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21_	1112.698296934079	1112.698296934079	1124.004941597676	157322.40209872846	7814.685352876914	16318.414550923217	27112.205393130716	0.0	0.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11_	1179.0935784180435	1179.0935784180435	1179.0935784180435	63425.74844088117	5930.770528028519	3663.376427974801	10761.66095251803	0.0	0.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21_	1178.2275530077654	1178.2275530077654	1178.3861026575698	86678.43256517877	4305.938359478421	4062.8576802827624	14650.324381899085	0.0	0.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11_	1179.3822535548006	1179.3822535548006	1179.3822535548006	46076.49642946391	4308.025779357822	2297.9588666690534	7794.338221709545	0.0	0.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21_	1178.2275530077654	1178.2275530077654	1178.3861026575698	86678.43256517877	4305.938359478421	4062.8576802827624	14650.324381899085	0.0	0.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11_	1177.0728524607132	1177.0728524607132	1177.0749779341138	36197.11330197508	3376.8550902703364	3077.756328318201	6251.966609308797	0.0	0.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21_	1178.804903281285	1178.804903281285	1178.804903281285	88874.1576196513	4414.722855564124	3611.8222607464154	14993.681149302653	0.0	0.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11_	1179.3822535548006	1179.3822535548006	1179.3822535548006	43060.15595969265	4026.1694230752255	1940.7104018271684	7273.620554497888	0.0	0.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21_	1176.4955021871808	1176.4955021871808	1176.8455943859892	76352.84870694505	3792.8631303345	3360.3484698033294	12892.174509790184	0.0	0.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11_	1176.206827050413	1176.206827050413	1176.2072522499798	33354.50432605231	3109.354158473109	3348.8129845607464	5840.994588486551	0.0	0.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21_	1177.938877871004	1177.938877871004	1177.938877871004	82105.84251993087	4078.5440198225283	3223.717156167223	13844.99892945958	0.0	0.0
