sampleName	Unnamed: 0	 	LabelObj	Surface(Pix)	Surface(Unit)	SurfaceCorr(Pix)	SurfaceNbPix	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	1390942.5	1390942.5	1390943.500244787	2285584050.686087	19910103.421418913	13978448.345092982	67381336.41556424	0.0	0.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	1390942.5	1390942.5	1390942.5	14924781705.493036	36804015.057853356	60626178.74028616	431165326.7325627	0.0	0.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	1388900.5	1388900.5	1388903.5007346112	1683003299.0546281	14087006.31416047	68745596.8185109	69495239.08046445	0.0	0.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	1390942.5	1390942.5	1390942.5	8530684695.313657	21054787.694601215	19392819.39136632	244114486.36823094	0.0	0.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	1388220.1666666667	1388220.1666666667	1388220.1666666667	1176739197.3818653	10273511.162885275	2681002.2098569283	33593820.16640802	0.0	0.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	1390942.5	1390942.5	1390942.5	9666250534.682976	23822637.910410866	29475536.774757545	277618412.584576	0.0	0.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	1387540.0	1387540.0	1387541.0002450866	1257092965.3151135	10927669.955950236	9173322.846056946	37514997.74156873	0.0	0.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	1390261.6666666667	1390261.6666666667	1390262.6669115133	8954403265.118877	22072298.753651712	18015903.441668298	255495210.99308008	0.0	0.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	1391623.5	1391623.5	1391623.5	2719676713.1461797	23749282.600885693	11559180.948265215	79020375.25989811	0.0	0.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	1391623.5	1391623.5	1391623.5	11935625560.648012	29452861.33555199	35460761.34828136	342715378.61117554	0.0	0.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	1390261.6666666667	1390261.6666666667	1390261.6666666667	2887425785.154463	25211127.601008195	15643339.962511657	83925702.94949356	0.0	0.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	1388900.5	1388900.5	1388933.2492607739	8777481313.95573	21641108.97903983	32408770.812472265	253003951.5410054	0.0	0.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	1390261.6666666667	1390261.6666666667	1390261.6666666667	2026862026.7109587	17703430.123625375	9878921.013374168	58723835.4125479	0.0	0.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	1151650.5	1151650.5	1192550.6573172235	8313504241.527769	20507413.912793383	32318829.06028591	239759269.23866186	0.0	0.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	1388220.1666666667	1388220.1666666667	1388220.1666666667	1721534614.9768457	15004081.566654196	12277461.559934022	50894902.351381816	0.0	0.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	1187866.6666666667	1187866.6666666667	1239630.7578414872	11437462431.551262	28216201.143281985	53374286.28869251	331270093.7695742	0.0	0.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	1389581.0	1389581.0	1389581.0	3537564329.5685663	8730319.428097883	14751466.945009382	102052681.91132793		
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	1387540.0	1387540.0	1387540.0	921507189.8175725	8032932.100495808	5983504.122975179	27159393.91746039	0.0	0.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	1381426.0	1381426.0	1381426.0	3103826292.825726	7663405.327899337	3763318.413599775	87940399.66425322	0.0	0.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	1384141.6666666667	1384141.6666666667	1384141.6666666667	921968588.4886942	7930425.747046423	20879967.06551708	31523665.140487917	0.0	0.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21_	1381426.0	1381426.0	1381427.0002456286	2454512411.346047	6058357.3432654245	4772986.081164718	69922032.44891909	0.0	0.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11_	1321692.1666666667	1321692.1666666667	1336742.6982690627	9515685661.017038	83035374.5658827	148378285.1156445	287034834.09477794	0.0	0.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21_	695767.5	695767.5	842314.6579676081	60891273198.96914	150211196.18518028	1299847134.0580935	1867398249.7035916	0.0	0.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11_	1390942.5	1390942.5	1390942.5	6342568448.371421	55350782.366606764	75989662.41184604	189117449.35182416	0.0	0.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21_	900090.1666666666	900090.1666666666	1051197.678907612	58155162017.5416	143478819.86692196	1124150194.2260516	1773773760.4848926	0.0	0.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_	1390942.5	1390942.5	1390942.5	6456245227.860917	56381651.92049116	59333075.889087856	190680683.5346583	0.0	0.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6_	1146081.0	1146081.0	1183509.6509568614	8643447769.668406	75500556.13417892	89287723.91485374	256319036.65540493		
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21_	974985.0	974985.0	1018067.6777396351	35932626650.51158	88656142.82021284	445913624.8145714	1073272495.5401968	0.0	0.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11_	1391623.5	1391623.5	1391623.5	7551172613.572929	65953649.00689193	78042853.26947407	223939732.2801803	0.0	0.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21_	1137444.1666666667	1137444.1666666667	1184712.8794950908	37706473882.46048	93056080.22059624	470068049.5027578	1126530568.0816169	0.0	0.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11_	1391623.5	1391623.5	1391623.5	5426696475.255607	47404318.736127995	42909747.867122695	159479009.81913906	0.0	0.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21_	1238097.5	1238097.5	1263387.108735995	24750338202.114002	61069307.16446899	266290653.45578256	735071681.2793063	0.0	0.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11_	1390261.6666666667	1390261.6666666667	1390261.6666666667	4022825565.2859406	35174039.05613168	13420326.853041414	115813346.45695128	0.0	0.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21_	1388220.1666666667	1388220.1666666667	1388593.8069364966	7513150671.956242	18541105.155627716	16506812.53023263	214632004.4948668	0.0	0.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11_	1390942.5	1390942.5	1390942.5	2123043523.2144	18559086.115611568	5280614.952902921	60751708.31440231	0.0	0.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21_	1388220.1666666667	1388220.1666666667	1388593.8069364966	7513150671.956242	18541105.155627716	16506812.53023263	214632004.4948668	0.0	0.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11_	1385500.5	1385500.5	1385505.5036785943	1310231011.3960214	11403150.300684683	9472584.016502736	39087086.48391213	0.0	0.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21_	1389581.0	1389581.0	1389581.0	7898615892.602625	19489777.891440257	13045260.043223348	224810474.40695372	0.0	0.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11_	1390942.5	1390942.5	1390942.5	1854177031.2730546	16210040.223305894	3766356.863760169	52905555.970814176	0.0	0.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21_	1384141.6666666667	1384141.6666666667	1384965.5530257125	5829757505.665641	14385810.725450821	11291941.838509578	166208163.5908838	0.0	0.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11_	1383462.5	1383462.5	1383463.5002454477	1112522958.8366423	9668083.282814015	11214548.405562652	34117217.78272918	0.0	0.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21_	1387540.0	1387540.0	1387540.0	6741369375.907689	16634521.32163011	10392352.302966889	191683995.3567369	0.0	0.0
