sampleName	Unnamed: 0	 	Area	Mean	Min	Max	Frame	LabelObj	Volume(Pix)	Volume(Unit)	Channel
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	120481	120482	0.087	495.6	384	630	1.0	4095	109247	1897.417	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	234859	234860	0.087	551.75	411	721	1.0	4095	197835	1718.013	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	301277	301278	0.087	492.333	458	609	1.0	4095	381556	6626.917	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	540735	540736	0.087	474.6	453	715	1.0	4095	118912	1032.64	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	109563	109564	0.087	441.0	394	540	1.0	4095	41123	714.23	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	242874	242875	0.087	596.4	407	974	1.0	4095	139253	1209.283	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	132920	132921	0.087	400.4	369	594	1.0	4095	108964	1892.502	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	270318	270319	0.087	464.6	437	797	1.0	4095	117247	1018.181	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	181792	181793	0.087	438.0	401	588	1.0	4095	86894	1509.187	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	412516	412517	0.087	540.667	453	734	1.0	4095	168384	1462.258	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	54417	54418	0.087	461.5	346	630	1.0	4095	90298	1568.308	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	158408	158409	0.087	417.5	376	507	1.0	4095	131300	1140.218	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	55361	55362	0.087	486.0	355	608	1.0	4095	69707	1210.681	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	132424	132425	0.087	445.75	414	541	1.0	4095	123177	1069.677	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	57057	57058	0.087	463.0	372	639	1.0	4095	86329	1499.374	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	130739	130740	0.087	447.2	379	704	1.0	4095	161334	1401.035	1.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	14682	14683	0.087	362.0	362	417		4095	74260	644.879	
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	65961	65962	0.087	395.0	356	492	1.0	4095	74146	1287.778	1.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	212694	212695	0.087	488.0	451	525	1.0	4095	51164	444.312	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	87022	87023	0.087	416.0	382	504	1.0	4095	185521	3222.154	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21_	250586	250587	0.087	417.2	397	516	1.0	4095	59635	517.874	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11_	32741	32742	0.087	474.8	381	645	1.0	4095	229921	3993.299	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21_	67130	67131	0.087	454.667	406	602	1.0	4095	566519	4919.69	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11_	28610	28611	0.087	473.6	362	625	1.0	4095	172308	2992.669	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21_	49562	49563	0.087	461.8	381	629	1.0	4095	573536	4980.626	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_	35268	35269	0.087	475.6	388	561	1.0	4095	159484	2769.94	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6_	6849	6850	0.087	478.0	342	582		4095	188910	3281.015	
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21_	58999	59000	0.087	601.4	359	743	1.0	4095	388931	3377.503	1.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11_	35056	35057	0.087	494.0	423	626	1.0	4095	188081	3266.616	1.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21_	57953	57954	0.087	475.6	404	639	1.0	4095	428907	3724.658	1.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11_	38440	38441	0.087	468.0	438	694	1.0	4095	139517	2423.15	1.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21_	58462	58463	0.087	473.6	384	589	1.0	4095	331559	2879.281	1.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11_	263363	263364	0.087	444.4	388	792	1.0	4095	96375	1673.854	1.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21_	601953	601954	0.087	470.75	393	634	1.0	4095	110490	959.503	1.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11_	184173	184174	0.087	441.333	376	557	1.0	4095	63577	1104.214	1.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21_	601953	601954	0.087	470.75	393	634	1.0	4095	110490	959.503	1.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11_	241113	241114	0.087	483.0	483	517	1.0	4095	110029	1910.999	1.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21_	785632	785633	0.087	459.4	427	597	1.0	4095	96941	841.842	1.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11_	286159	286160	0.087	404.0	404	439	1.0	4095	53395	927.372	1.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21_	771622	771623	0.087	429.0	405	556	1.0	4095	86257	749.062	1.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11_	235921	235922	0.087	455.8	392	581	1.0	4095	128903	2238.805	1.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21_	826007	826008	0.087	449.0	414	580	1.0	4095	86448	750.72	1.0
