sampleName	Unnamed: 0	 	Area	Mean	Min	Max	Frame	LabelObj	Volume(Pix)	Volume(Unit)	Channel
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	60240.5	60241.5	0.017	266.0	263.0	267.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	117429.5	117430.5	0.017	266.0	264.0	268.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	150638.5	150639.5	0.017	270.0	266.0	271.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	270367.5	270368.5	0.017	270.0	266.0	272.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	54781.5	54782.5	0.017	266.0	263.0	267.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	121437.0	121438.0	0.017	266.0	264.0	267.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	66460.0	66461.0	0.017	266.0	264.0	267.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	135159.0	135160.0	0.017	267.0	264.0	268.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	90896.0	90897.0	0.017	268.0	265.0	269.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	206258.0	206259.0	0.017	268.5	265.0	270.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	27208.5	27209.5	0.017	264.0	262.0	265.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	79204.0	79205.0	0.017	264.5	262.0	265.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	27680.5	27681.5	0.017	264.0	262.0	265.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	66212.0	66213.0	0.017	265.0	262.0	266.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	28528.5	28529.5	0.017	264.0	262.0	265.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	65369.5	65370.5	0.017	264.5	262.0	265.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	7341.0	7342.0	0.017	261.0	259.0	261.0		0.0	0.0	0.0	
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	32980.5	32981.5	0.017	265.0	263.0	266.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	106347.0	106348.0	0.017	266.0	263.0	267.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	43511.0	43512.0	0.017	265.0	263.0	266.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21_	125293.0	125294.0	0.017	266.0	264.0	267.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11_	16370.5	16371.5	0.017	264.0	261.0	265.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21_	33565.0	33566.0	0.017	266.0	262.0	268.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11_	14305.0	14306.0	0.017	264.0	260.0	265.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21_	24781.0	24782.0	0.017	266.0	261.0	268.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_	17634.0	17635.0	0.017	264.0	261.0	265.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6_	3424.5	3425.5	0.0	0.0	0.0	0.0		293.5	2.0	0.035	
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21_	29499.5	29500.5	0.017	266.0	262.0	268.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11_	17528.0	17529.0	0.017	264.5	261.0	266.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21_	28976.5	28977.5	0.017	266.0	262.0	268.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11_	19220.0	19221.0	0.017	264.0	261.0	265.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21_	29231.0	29232.0	0.017	266.0	262.0	268.0	0.0	0.0	0.0	0.0	0.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11_	131681.5	131682.5	0.017	267.0	264.0	269.0	0.0	0.0	0.0	0.0	0.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21_	300976.5	300977.5	0.017	268.0	264.0	269.0	0.0	0.0	0.0	0.0	0.0
