sampleName	Unnamed: 0	 	Area	Mean	Min	Max	Frame	LabelObj	Volume(Pix)	Volume(Unit)	Channel
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	30120.25	30121.25	0.017	260.0	259.0	260.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	58714.75	58715.75	0.017	260.0	259.0	260.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	75319.25	75320.25	0.017	262.0	260.0	262.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	135183.75	135184.75	0.017	262.0	260.0	262.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	27390.75	27391.75	0.017	260.0	258.0	260.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	60718.5	60719.5	0.017	260.0	259.0	260.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	33230.0	33231.0	0.017	260.0	259.0	260.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	67579.5	67580.5	0.017	260.667	259.0	261.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	45448.0	45449.0	0.017	261.0	259.0	261.0	0.0	0.0	0.0	0.0	0.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	103129.0	103130.0	0.017	261.0	259.0	262.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	13604.25	13605.25	0.017	259.0	258.0	259.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	39602.0	39603.0	0.017	259.0	258.0	259.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	13840.25	13841.25	0.017	259.0	258.0	259.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	33106.0	33107.0	0.017	259.5	258.0	260.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	14264.25	14265.25	0.017	259.0	258.0	259.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	32684.75	32685.75	0.017	259.0	258.0	259.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	3670.5	3671.5	0.0	0.0	0.0	0.0		0.0	0.0	0.0	
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	16490.25	16491.25	0.017	259.0	258.0	259.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	53173.5	53174.5	0.017	260.0	259.0	260.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	21755.5	21756.5	0.017	259.5	258.0	260.0	0.0	0.0	0.0	0.0	0.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21_	62646.5	62647.5	0.017	260.0	259.0	260.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11_	8185.25	8186.25	0.017	258.0	257.0	258.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21_	16782.5	16783.5	0.017	260.0	258.0	260.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11_	7152.5	7153.5	0.017	258.0	257.0	258.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21_	12390.5	12391.5	0.017	260.0	258.0	260.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_	8817.0	8818.0	0.017	258.0	257.0	258.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6_	1712.25	1713.25	0.0	0.0	0.0	0.0		0.0	0.0	0.0	
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21_	14749.75	14750.75	0.017	260.0	258.0	260.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11_	8764.0	8765.0	0.017	258.0	257.0	258.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21_	14488.25	14489.25	0.017	260.0	258.0	260.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11_	9610.0	9611.0	0.017	258.0	257.0	258.0	0.0	0.0	0.0	0.0	0.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21_	14615.5	14616.5	0.017	260.0	258.0	260.0	0.0	0.0	0.0	0.0	0.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11_	65840.75	65841.75	0.017	261.0	259.0	261.0	0.0	0.0	0.0	0.0	0.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21_	150488.25	150489.25	0.017	261.0	259.0	261.0	0.0	0.0	0.0	0.0	0.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11_	46043.25	46044.25	0.017	260.5	259.0	261.0	0.0	0.0	0.0	0.0	0.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21_	150488.25	150489.25	0.017	261.0	259.0	261.0	0.0	0.0	0.0	0.0	0.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11_	60278.25	60279.25	0.017	261.0	259.0	261.0	0.0	0.0	0.0	0.0	0.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21_	196408.0	196409.0	0.017	261.0	259.0	262.0	0.0	0.0	0.0	0.0	0.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11_	71539.75	71540.75	0.017	261.0	259.0	261.0	0.0	0.0	0.0	0.0	0.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21_	192905.5	192906.5	0.017	261.0	259.0	261.0	0.0	0.0	0.0	0.0	0.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11_	58980.25	58981.25	0.017	261.0	259.0	261.0	0.0	0.0	0.0	0.0	0.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21_	206501.75	206502.75	0.017	261.0	259.0	261.0	0.0	0.0	0.0	0.0	0.0
