sampleName	Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt	Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt	Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt	Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt	Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt	Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt	Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt	Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt	Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt	Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt	Unnamed: 0.1-SUMMARYCustomAlgos.tsv_max.txt	Unnamed: 0.1-SUMMARYCustomAlgos.tsv_mean.txt	Unnamed: 0.1-SUMMARYCustomAlgos.tsv_median.txt	Unnamed: 0.1-SUMMARYCustomAlgos.tsv_min.txt	Unnamed: 0.1-SUMMARYCustomAlgos.tsv_q10.txt	Unnamed: 0.1-SUMMARYCustomAlgos.tsv_q25.txt	Unnamed: 0.1-SUMMARYCustomAlgos.tsv_q75.txt	Unnamed: 0.1-SUMMARYCustomAlgos.tsv_q90.txt	Unnamed: 0.1-SUMMARYCustomAlgos.tsv_std.txt	Unnamed: 0.1-SUMMARYCustomAlgos.tsv_var.txt	diff-SUMMARYCustomAlgos.tsv_max.txt	diff-SUMMARYCustomAlgos.tsv_mean.txt	diff-SUMMARYCustomAlgos.tsv_median.txt	diff-SUMMARYCustomAlgos.tsv_min.txt	diff-SUMMARYCustomAlgos.tsv_q10.txt	diff-SUMMARYCustomAlgos.tsv_q25.txt	diff-SUMMARYCustomAlgos.tsv_q75.txt	diff-SUMMARYCustomAlgos.tsv_q90.txt	diff-SUMMARYCustomAlgos.tsv_std.txt	diff-SUMMARYCustomAlgos.tsv_var.txt	max-SUMMARYCustomAlgos.tsv_max.txt	max-SUMMARYCustomAlgos.tsv_mean.txt	max-SUMMARYCustomAlgos.tsv_median.txt	max-SUMMARYCustomAlgos.tsv_min.txt	max-SUMMARYCustomAlgos.tsv_q10.txt	max-SUMMARYCustomAlgos.tsv_q25.txt	max-SUMMARYCustomAlgos.tsv_q75.txt	max-SUMMARYCustomAlgos.tsv_q90.txt	max-SUMMARYCustomAlgos.tsv_std.txt	max-SUMMARYCustomAlgos.tsv_var.txt	mean-SUMMARYCustomAlgos.tsv_max.txt	mean-SUMMARYCustomAlgos.tsv_mean.txt	mean-SUMMARYCustomAlgos.tsv_median.txt	mean-SUMMARYCustomAlgos.tsv_min.txt	mean-SUMMARYCustomAlgos.tsv_q10.txt	mean-SUMMARYCustomAlgos.tsv_q25.txt	mean-SUMMARYCustomAlgos.tsv_q75.txt	mean-SUMMARYCustomAlgos.tsv_q90.txt	mean-SUMMARYCustomAlgos.tsv_std.txt	mean-SUMMARYCustomAlgos.tsv_var.txt	med-SUMMARYCustomAlgos.tsv_max.txt	med-SUMMARYCustomAlgos.tsv_mean.txt	med-SUMMARYCustomAlgos.tsv_median.txt	med-SUMMARYCustomAlgos.tsv_min.txt	med-SUMMARYCustomAlgos.tsv_q10.txt	med-SUMMARYCustomAlgos.tsv_q25.txt	med-SUMMARYCustomAlgos.tsv_q75.txt	med-SUMMARYCustomAlgos.tsv_q90.txt	med-SUMMARYCustomAlgos.tsv_std.txt	med-SUMMARYCustomAlgos.tsv_var.txt	min-SUMMARYCustomAlgos.tsv_max.txt	min-SUMMARYCustomAlgos.tsv_mean.txt	min-SUMMARYCustomAlgos.tsv_median.txt	min-SUMMARYCustomAlgos.tsv_min.txt	min-SUMMARYCustomAlgos.tsv_q10.txt	min-SUMMARYCustomAlgos.tsv_q25.txt	min-SUMMARYCustomAlgos.tsv_q75.txt	min-SUMMARYCustomAlgos.tsv_q90.txt	min-SUMMARYCustomAlgos.tsv_std.txt	min-SUMMARYCustomAlgos.tsv_var.txt	minProp-SUMMARYCustomAlgos.tsv_max.txt	minProp-SUMMARYCustomAlgos.tsv_mean.txt	minProp-SUMMARYCustomAlgos.tsv_median.txt	minProp-SUMMARYCustomAlgos.tsv_min.txt	minProp-SUMMARYCustomAlgos.tsv_q10.txt	minProp-SUMMARYCustomAlgos.tsv_q25.txt	minProp-SUMMARYCustomAlgos.tsv_q75.txt	minProp-SUMMARYCustomAlgos.tsv_q90.txt	minProp-SUMMARYCustomAlgos.tsv_std.txt	minProp-SUMMARYCustomAlgos.tsv_var.txt	std-SUMMARYCustomAlgos.tsv_max.txt	std-SUMMARYCustomAlgos.tsv_mean.txt	std-SUMMARYCustomAlgos.tsv_median.txt	std-SUMMARYCustomAlgos.tsv_min.txt	std-SUMMARYCustomAlgos.tsv_q10.txt	std-SUMMARYCustomAlgos.tsv_q25.txt	std-SUMMARYCustomAlgos.tsv_q75.txt	std-SUMMARYCustomAlgos.tsv_q90.txt	std-SUMMARYCustomAlgos.tsv_std.txt	std-SUMMARYCustomAlgos.tsv_var.txt	label
13042023--s--Lm--st--L628--p--C03--pos001--tm--24--ch--Syto9--z--21	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	4084.0	4041.0476190476193	4080.0	3428.0	4073.0	4075.0	4083.0	4084.0	145.3831063743227	21136.247619047623	4095.0	4055.428571428572	4095.0	3439.0	4095.0	4095.0	4095.0	4095.0	146.3005712321627	21403.85714285711	753.7061309814453	296.80650524866013	195.7020721435547	73.06535720825195	81.06008815765381	103.4993486404419	407.7960166931152	712.5964069366455	241.74761319451903	58441.9084852468	685.0	200.8571428571429	100.0	56.0	60.0	68.0	212.0	549.0	203.24179828821767	41307.22857142858	22.0	14.38095238095238	13.0	11.0	11.0	11.0	16.0	20.0	3.653439345003424	13.347619047619045	0.7980403900146484	0.7255464281354632	0.7543249130249023	0.5487737655639648	0.6029529571533203	0.7023420333862305	0.7801656723022461	0.7937707901000977	0.0774275273505379	0.0059950219916183	576.730472723755	312.6217697193215	289.95428649985035	88.09901766360886	102.44798987119404	159.91342546439324	463.5295393930564	553.1907372122117	173.91463914293575	30246.301708217565	L628
13042023--s--Lm--st--L628--p--C03--pos002--tm--24--ch--Syto9--z--21	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	4082.0	4072.142857142857	4075.0	4035.0	4064.0	4069.0	4079.0	4081.0	10.794840037192278	116.5285714285694	4095.0	4092.857142857143	4095.0	4050.0	4095.0	4095.0	4095.0	4095.0	9.819805060619649	96.42857142857125	993.5992488861084	426.10170704977855	330.4745616912842	111.88665866851808	131.0164499282837	176.65748405456543	625.4155263900757	901.7050933837892	294.74848789748944	86876.67111785647	907.0	280.7142857142857	153.0	75.0	83.0	98.0	378.0	713.0	261.2049277592486	68228.01428571428	35.0	20.714285714285715	17.0	13.0	14.0	15.0	25.0	30.0	6.768625097779144	45.81428571428573	0.7993927001953125	0.7225226901826405	0.7536239624023438	0.5528669357299805	0.6027517318725586	0.6661520004272461	0.7907848358154297	0.7962360382080078	0.0795050793227267	0.006321057638113	692.4328133098397	435.40444665359314	449.4279996530237	160.09919485191952	191.2791759732017	263.175973640316	596.9946856535096	668.7768869034144	184.72167907625027	34122.0987207492	L628
13042023--s--Lm--st--L628--p--C03--pos003--tm--24--ch--Syto9--z--21	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	4069.0	4044.5238095238096	4047.0	4010.0	4019.0	4032.0	4059.0	4067.0	18.462445795774585	340.8619047619147	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	0.0	0.0	1821.0737829208367	979.1015678133284	894.6725797653198	456.4265947341919	577.8864879608154	761.7319965362549	1092.2031297683716	1552.246443748474	376.0895822921143	141443.373908657	1672.0	640.5714285714286	487.0	188.0	226.0	337.0	794.0	1316.0	439.7723924291487	193399.75714285712	85.0	50.47619047619048	48.0	26.0	28.0	36.0	63.0	76.0	18.46244579577432	340.8619047619048	0.760706901550293	0.6619393939063662	0.6636466979980469	0.5521087646484375	0.5963830947875977	0.6438312530517578	0.6841497421264648	0.7278079986572266	0.0519432551159409	0.0026981017520397	1036.496019593105	890.208139543762	903.9556503626458	651.9264843016563	765.7423563640898	877.462730539189	936.2494164792	983.3141694506578	91.20330396287616	8318.042653744782	L628
13042023--s--Lm--st--L628--p--C03--pos004--tm--24--ch--Syto9--z--21	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	4082.0	4075.285714285714	4078.0	4064.0	4068.0	4071.0	4080.0	4081.0	5.6845655695303	32.31428571428933	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	0.0	0.0	1381.4116563796997	504.02048855736143	359.8643312454224	111.78895950317384	120.69384860992432	158.21143531799316	739.2564821243286	1197.060297012329	426.0486778187724	181517.4758711241	1203.0	335.7142857142857	158.0	76.0	80.0	92.0	437.0	935.0	362.0896495147498	131108.91428571433	31.0	19.714285714285715	17.0	13.0	14.0	15.0	24.0	27.0	5.684565569529981	32.31428571428571	0.8086414337158203	0.7396495455787295	0.7836093902587891	0.5636444091796875	0.6041841506958008	0.6856670379638672	0.8031034469604492	0.8051538467407227	0.083871570720201	0.0070344403750736	984.3248618495234	545.9880786225048	560.5035898320796	180.57152382560224	202.8088407103774	270.5994160591612	781.1284963795025	951.2341966795876	285.96323189455444	81774.96999557872	L628
13042023--s--Lm--st--L628--p--C03--pos005--tm--24--ch--Syto9--z--21	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	4072.0	4041.0	4043.0	4002.0	4009.0	4021.0	4059.0	4066.0	22.396428286671483	501.60000000001855	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	0.0	0.0	1867.4876623153689	979.6908031645276	936.4083471298218	442.2467927932739	546.1245527267456	692.9712543487549	1145.820213317871	1538.266668319702	398.1030844788499	158486.0658715743	1710.0	654.2857142857143	559.0	193.0	231.0	304.0	847.0	1272.0	444.17408106024624	197290.6142857142	93.0	54.0	52.0	23.0	29.0	36.0	74.0	86.0	22.39642828667107	501.6	0.7565650939941406	0.6635488328479585	0.6564817428588867	0.5546531677246094	0.6005945205688477	0.6356925964355469	0.6958551406860352	0.7310247421264648	0.0529115390074105	0.0027996309601327	1030.1723439044567	875.4207087728286	908.2882834036676	617.9615176710796	715.6367077852007	831.5328172959315	925.850132338868	1000.3185708010036	109.18285425815446	11920.895663957395	L628
13042023--s--Lm--st--L628--p--C04--pos001--tm--24--ch--Syto9--z--21	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	4084.0	3714.428571428572	4073.0	2734.0	2986.0	3416.0	4079.0	4082.0	470.90971230465954	221755.9571428572	4095.0	3727.809523809524	4088.0	2745.0	2996.0	3426.0	4095.0	4095.0	473.2152384536682	223932.6619047621	813.8850498199463	274.8603457042149	197.4114408493042	74.91600894927979	86.99129104614258	110.05117321014404	376.5613870620728	571.3071327209473	215.47052147789287	46427.54562595509	695.0	177.76190476190476	101.0	50.0	55.0	63.0	217.0	396.0	176.96465883387697	31316.490476190476	22.0	13.38095238095238	12.0	10.0	10.0	11.0	16.0	19.0	3.5982800123974585	12.947619047619051	0.7952232360839844	0.727362178620838	0.747136116027832	0.5768365859985352	0.6334638595581055	0.6784477233886719	0.7866630554199219	0.7936220169067383	0.0685777384056983	0.0047029062048403	567.9291336910918	287.712970742036	256.06216439638075	101.7390885832583	122.02444478291387	158.7361254511632	395.7543670579335	517.5606312466797	152.25321883176338	23181.042644632827	L628
13042023--s--Lm--st--L628--p--C04--pos002--tm--24--ch--Syto9--z--21	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	4085.0	3966.5238095238096	4081.0	3416.0	3543.0	4070.0	4083.0	4084.0	238.3876295128626	56828.66190476184	4095.0	3979.571428571429	4095.0	3426.0	3553.0	4095.0	4095.0	4095.0	239.9032245361809	57553.55714285721	756.2133502960205	275.6374525796799	199.7076511383057	69.19471645355225	84.61797142028809	109.05669116973876	380.55358695983887	583.2581901550293	211.71645861269735	44823.858847502	666.0	174.66666666666666	94.0	48.0	54.0	62.0	200.0	407.0	175.40847565991027	30768.13333333333	25.0	13.047619047619047	12.0	10.0	10.0	10.0	14.0	16.0	3.721238912999143	13.847619047619045	0.8171281814575195	0.7445382617768788	0.774226188659668	0.5676202774047852	0.6341705322265625	0.7025556564331055	0.8065900802612305	0.816187858581543	0.0774728002070739	0.0060020347719251	534.8401110848548	307.9856911493636	292.3477352495917	104.52213484028128	138.75976553118358	183.2109015701539	434.6041979250249	495.1905663730061	143.2705702189014	20526.45629084916	L628
13042023--s--Lm--st--L628--p--C04--pos003--tm--24--ch--Syto9--z--21	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	4080.0	4066.7619047619046	4071.0	4043.0	4048.0	4060.0	4077.0	4079.0	11.286738952880802	127.3904761904768	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	0.0	0.0	1755.1511249542236	818.8139771052769	724.2935705184937	273.0105266571045	375.2729358673096	545.6605005264282	918.747673034668	1491.9595708847046	425.6945415711273	181215.84272345225	1597.0	504.1904761904762	306.0	116.0	136.0	181.0	593.0	1250.0	461.7596365044936	213221.961904762	52.0	28.23809523809524	24.0	15.0	16.0	18.0	35.0	47.0	11.286738952880771	127.39047619047616	0.8112096786499023	0.6903641110374814	0.689788818359375	0.5544271469116211	0.5923938751220703	0.6535768508911133	0.7379312515258789	0.783203125	0.0720702827673974	0.0051941256581726	1042.409192940768	825.0739927291532	856.4524204082048	482.1747676093527	613.746068003653	783.8022894774064	875.7635033537592	1005.0869638220072	145.52190443480129	21176.62467033144	L628
13042023--s--Lm--st--L628--p--C04--pos004--tm--24--ch--Syto9--z--21	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	4082.0	4074.0	4074.0	4066.0	4067.0	4071.0	4077.0	4080.0	4.979959839195512	24.80000000000019	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	0.0	0.0	1428.2492637634275	553.9160693032401	390.4328031539917	137.19435024261475	159.92709255218506	227.86417388916016	735.3723030090332	1266.3037385940552	425.65094594706	181178.72778562695	1279.0	352.04761904761904	169.0	87.0	96.0	115.0	388.0	956.0	369.8496283884135	136788.7476190476	29.0	21.0	21.0	13.0	15.0	18.0	24.0	28.0	4.979959839195494	24.800000000000004	0.8073511123657227	0.737004143851144	0.7747716903686523	0.5539016723632812	0.6089868545532227	0.7054471969604492	0.79681396484375	0.8016138076782227	0.0800051049733432	0.0064008168217956	1040.1205624168051	611.2142542705997	598.8284113748489	214.962606274706	260.44203567180244	390.1120029951501	831.8331423983478	961.5802588253858	274.2129944177192	75192.76630753209	L628
13042023--s--Lm--st--L628--p--C04--pos005--tm--24--ch--Syto9--z--21	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	20.0	10.0	10.0	0.0	2.0	5.0	15.0	18.0	6.2048368229954285	38.5	4071.0	4052.714285714286	4058.0	4018.0	4026.0	4039.0	4066.0	4070.0	16.941495970376362	287.0142857142785	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	4095.0	0.0	0.0	1627.6796941757202	964.1491254624866	915.8062591552734	526.1084098815918	626.9682016372681	773.5536842346191	1059.3520221710205	1460.7904634475708	310.21178905547004	96231.35406899542	1510.0	678.4761904761905	612.0	236.0	297.0	422.0	812.0	1242.0	363.2505497652576	131950.9619047619	77.0	42.285714285714285	37.0	24.0	25.0	29.0	56.0	69.0	16.94149597037658	287.01428571428585	0.7176170349121094	0.6432387034098307	0.6413307189941406	0.5499229431152344	0.5957107543945312	0.6333389282226562	0.6597681045532227	0.6904821395874023	0.0388858553102603	0.0015121097432105	941.2714379804208	819.3461163487393	830.5098732307289	667.7676679089777	739.7573610558658	792.5554148370209	854.8479092326039	877.679789208035	62.85809820086757	3951.140509429912	L628
