feature	RandomForest(n=200, p=1.0)	MutualInformation
Max-SUMMARYvol3D.tsv_q90.txt	0.11462870948921446	0.16709433655826045
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_max.txt	0.07798089253348711	0.05615276431000238
Mean-SUMMARYvol3D.tsv_q90.txt	0.04354893777278005	0.14653509634742545
CX(unit)-SUMMARYcent3D.tsv_max.txt	0.02796310498154659	0.05487371676560193
Surface(Unit)-SUMMARYsurf3D.tsv_max.txt	0.02337798955194721	0.0896563544394331
CompactDiscrete(Pix)-SUMMARYcompactness3D.tsv_mean.txt	0.02323166360226998	0.12071667989045509
CZ(unit)-SUMMARYcent3D.tsv_q25.txt	0.02126771102077504	0.1852049602082133
CZ(pix)-SUMMARYcent3D.tsv_q10.txt	0.02123345149918356	0.04638056264638246
Surface(Pix)-SUMMARYsurf3D.tsv_max.txt	0.021182463074564648	0.1319368267760852
CX(pix)-SUMMARYcent3D.tsv_max.txt	0.01996421172874623	0.04855247870279045
Compactness(Pix)-SUMMARYcompactness3D.tsv_min.txt	0.0169996826711253	0.07757318851641748
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_mean.txt	0.014920375046730138	0.12363139937820855
Min-SUMMARYvol3D.tsv_max.txt	0.014842567295304854	0.07425106685180816
Min-SUMMARYvol3D.tsv_q90.txt	0.014235712179176041	0.22815760573653443
CZ(unit)-SUMMARYcent3D.tsv_q75.txt	0.013299707996180448	0.0
Volume(Pix)-SUMMARYvol3D.tsv_q90.txt	0.012977101289035745	0.15324551593177604
CZ(pix)-SUMMARYcent3D.tsv_q25.txt	0.012342265869629691	0.18493743746878044
CZ(unit)-SUMMARYcent3D.tsv_q10.txt	0.010635901122684685	0.0313992892381425
CompactCorr(Pix)-SUMMARYcompactness3D.tsv_q10.txt	0.009209992434715087	0.0
CompactDiscrete(Pix)-SUMMARYcompactness3D.tsv_max.txt	0.009198473530441141	0.059919627379919405
CZ(pix)-SUMMARYcent3D.tsv_q90.txt	0.008990175569522725	0.11826635244012729
CZ(unit)-SUMMARYcent3D.tsv_mean.txt	0.008892757072001796	0.01384464596124979
Mean-SUMMARYvol3D.tsv_max.txt	0.008755065328569707	0.0
Mean-SUMMARYvol3D.tsv_median.txt	0.008322504660398924	0.14287841481460184
Volume(Unit)-SUMMARYvol3D.tsv_q90.txt	0.008216230217658035	0.13052391792927942
Max-SUMMARYvol3D.tsv_q75.txt	0.008201323939083995	0.09356452536949189
CX(pix)-SUMMARYcent3D.tsv_q25.txt	0.007720505287492875	0.0
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_q90.txt	0.007349179284577122	0.1041476037495106
LabelObj-SUMMARYcent3D.tsv_q10.txt	0.007151022955611409	0.14687036390930763
CZ(unit)-SUMMARYcent3D.tsv_q90.txt	0.006929815580898033	0.08862929162329136
Max-SUMMARYvol3D.tsv_mean.txt	0.006734918483473606	0.039761619893507794
Area-SUMMARYvol3D.tsv_mean.txt	0.006683506226991677	0.050373992596510986
CentroidIN-SUMMARYcent3D.tsv_mean.txt	0.00637777536597752	0.08764192843144092
Mean-SUMMARYvol3D.tsv_q75.txt	0.0060068211690224495	0.08762015894471142
CX(unit)-SUMMARYcent3D.tsv_q25.txt	0.005779735316383223	0.0
CX(unit)-SUMMARYcent3D.tsv_q10.txt	0.005765625544245158	0.0034030276544627647
Min-SUMMARYvol3D.tsv_q75.txt	0.005417202068723465	0.1408507315090617
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_mean.txt	0.005270113315720648	0.0
CY(pix)-SUMMARYcent3D.tsv_max.txt	0.00518361752279467	0.0
CX(unit)-SUMMARYcent3D.tsv_q90.txt	0.005048789061672615	0.0
SpherCorr(Pix)-SUMMARYcompactness3D.tsv_q75.txt	0.004966679860418495	0.0
Unnamed: 0-SUMMARYvol3D.tsv_max.txt	0.004939413619432437	0.08123453009805615
 -SUMMARYvol3D.tsv_median.txt	0.004925759970429391	0.08123453009805615
CZ(pix)-SUMMARYcent3D.tsv_q75.txt	0.004918378947588562	0.0
Max-SUMMARYvol3D.tsv_max.txt	0.004916835931843295	0.0
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_q75.txt	0.0048898071002155844	0.0
SpherCorr(Pix)-SUMMARYcompactness3D.tsv_min.txt	0.004794372367626584	0.0
Compactness(Pix)-SUMMARYcompactness3D.tsv_mean.txt	0.004783931862966579	0.029033664048831342
CZ(pix)-SUMMARYcent3D.tsv_max.txt	0.004751306924019872	0.029658798944933507
LabelObj-SUMMARYcompactness3D.tsv_q10.txt	0.004737281628922802	0.14386965051533607
CY(pix)-SUMMARYcent3D.tsv_median.txt	0.0047314048552305685	0.0
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_max.txt	0.004626648570760644	0.05529553736257098
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_q90.txt	0.004584565620411229	0.04833897956331645
LabelObj-SUMMARYvol3D.tsv_q90.txt	0.004536019809163694	0.0
CY(unit)-SUMMARYcent3D.tsv_median.txt	0.004442006725159589	0.0
SpherCorr(Pix)-SUMMARYcompactness3D.tsv_q10.txt	0.004389288420339394	0.0
Compactness(Unit)-SUMMARYcompactness3D.tsv_q10.txt	0.004351121059022811	0.1144849590519923
CZ(pix)-SUMMARYcent3D.tsv_min.txt	0.0042751109088892715	0.01229737171595513
CZ(unit)-SUMMARYcent3D.tsv_max.txt	0.004183185540422636	0.06170258341114487
CX(pix)-SUMMARYcent3D.tsv_q10.txt	0.004076313184709493	0.0034030276544627647
Max-SUMMARYvol3D.tsv_median.txt	0.004023209454036032	0.08340609989954517
