feature	RandomForest(n=200, p=1.0)	MutualInformation
Volume(Pix)-SUMMARYvol3D.tsv_mean.txt	0.13296081952598426	1.0539909141820454
Mean-SUMMARYvol3D.tsv_q90.txt	0.06447593051636727	0.7399788253721624
Volume(Pix)-SUMMARYvol3D.tsv_var.txt	0.051278570273109676	0.7256465604148976
Volume(Pix)-SUMMARYvol3D.tsv_std.txt	0.04573675930656921	0.7547933858117228
Mean-SUMMARYvol3D.tsv_q75.txt	0.039252740803596406	0.6180452728136101
Volume(Unit)-SUMMARYvol3D.tsv_var.txt	0.037979662497882344	0.7895865930130181
Surface(Unit)-SUMMARYsurf3D.tsv_max.txt	0.037354541232118274	0.5866680287341599
Min-SUMMARYvol3D.tsv_q90.txt	0.034085045939742126	0.8884420288353656
Max-SUMMARYvol3D.tsv_q90.txt	0.03243931997841602	0.7290654678963049
Compactness(Unit)-SUMMARYcompactness3D.tsv_min.txt	0.03081766611420111	0.6295625428457794
Volume(Unit)-SUMMARYvol3D.tsv_std.txt	0.024261275072971863	0.7609457199971452
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_std.txt	0.021549507219909846	0.4124364963776277
Surface(Unit)-SUMMARYsurf3D.tsv_q90.txt	0.02148817233186995	0.6154046988781527
Sphericity(Unit)-SUMMARYcompactness3D.tsv_min.txt	0.01947827403079535	0.7284922563855933
Surface(Unit)-SUMMARYsurf3D.tsv_std.txt	0.018432632598564407	0.6744018818908071
Max-SUMMARYvol3D.tsv_q75.txt	0.01753847177358528	0.5465207454618768
CompactDiscrete(Pix)-SUMMARYcompactness3D.tsv_mean.txt	0.016370774094155813	0.20083791113933636
Area-SUMMARYvol3D.tsv_std.txt	0.014702236009460546	0.7129360764544135
SurfaceNbPix-SUMMARYsurf3D.tsv_max.txt	0.014196839732254527	0.3502450562817758
Min-SUMMARYvol3D.tsv_q75.txt	0.013064461928322023	0.8006853410786778
Compactness(Unit)-SUMMARYcompactness3D.tsv_q25.txt	0.0125169638711784	0.3542444242841283
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_var.txt	0.012395733849038663	0.3727762925622462
Area-SUMMARYvol3D.tsv_var.txt	0.012208497720726644	0.7142272852456224
Surface(Unit)-SUMMARYsurf3D.tsv_var.txt	0.011061984064393387	0.679129688806114
Volume(Pix)-SUMMARYvol3D.tsv_max.txt	0.00975996847255506	0.35542839010481564
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_q75.txt	0.009278422077399026	0.11537469637852116
Mean-SUMMARYvol3D.tsv_max.txt	0.009198467875925142	0.14377106079580004
Min-SUMMARYvol3D.tsv_median.txt	0.007952728200452138	0.7322777662188973
Max-SUMMARYvol3D.tsv_median.txt	0.006982656121267354	0.5476106767723963
Surface(Pix)-SUMMARYsurf3D.tsv_max.txt	0.006928439183076607	0.43372871110734224
Surface(Unit)-SUMMARYsurf3D.tsv_q75.txt	0.006715904231150061	0.4944073012379535
Mean-SUMMARYvol3D.tsv_median.txt	0.006124311367482416	0.6682936600472915
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_max.txt	0.0060248663613409505	0.25030364460178056
Volume(Unit)-SUMMARYvol3D.tsv_max.txt	0.005922930790975858	0.533945696993833
Compactness(Unit)-SUMMARYcompactness3D.tsv_q10.txt	0.005833857246339525	0.5581314171346694
Mean-SUMMARYvol3D.tsv_mean.txt	0.005402785020778344	0.6795636849570224
Sphericity(Unit)-SUMMARYcompactness3D.tsv_q25.txt	0.004894667197974345	0.3680224328383792
CompactCorr(Pix)-SUMMARYcompactness3D.tsv_q25.txt	0.004708863327263583	0.07610041211874874
 -SUMMARYvol3D.tsv_q10.txt	0.004666261942112833	0.6094616689175059
Min-SUMMARYvol3D.tsv_mean.txt	0.0045449364695072545	0.6847013623595988
LabelObj-SUMMARYsurf3D.tsv_std.txt	0.004322580148406275	0.22559680620172706
LabelObj-SUMMARYsurf3D.tsv_min.txt	0.0042774746833798925	0.36313455852789556
Unnamed: 0-SUMMARYvol3D.tsv_mean.txt	0.0040737454447836415	0.6094616689175059
Unnamed: 0-SUMMARYvol3D.tsv_median.txt	0.0038788275598767284	0.6094616689175059
LabelObj-SUMMARYcompactness3D.tsv_min.txt	0.003858360926806995	0.43800187870771556
 -SUMMARYvol3D.tsv_q90.txt	0.0035395794944840975	0.6094616689175059
Sphericity(Pix)-SUMMARYcompactness3D.tsv_median.txt	0.003499354006257457	0.3567986645671952
Compactness(Pix)-SUMMARYcompactness3D.tsv_median.txt	0.0034047235019232527	0.3195256817021068
Max-SUMMARYvol3D.tsv_max.txt	0.0033498058818795585	0.15836410033541704
Max-SUMMARYvol3D.tsv_mean.txt	0.0031921196622259097	0.6820336455519826
Mean-SUMMARYvol3D.tsv_q25.txt	0.0031877743190094465	0.9301471986655356
SpherCorr(Pix)-SUMMARYcompactness3D.tsv_q10.txt	0.003133707132597553	0.36252823728206174
Surface(Pix)-SUMMARYsurf3D.tsv_median.txt	0.0030633582244278725	0.37325438613321094
Compactness(Pix)-SUMMARYcompactness3D.tsv_min.txt	0.0029283042498592293	0.34165534587608226
Min-SUMMARYvol3D.tsv_max.txt	0.0027489513461237446	0.15432368859455803
Max-SUMMARYvol3D.tsv_var.txt	0.002664389946443494	0.6477361747694113
Frame-SUMMARYvol3D.tsv_std.txt	0.0026566203487970053	0.6284336344519716
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_std.txt	0.0026315206057324703	0.16482845899017828
Max-SUMMARYvol3D.tsv_q25.txt	0.0024085126313294807	0.8807640817824189
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_var.txt	0.00236163015447177	0.16482177449819968
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_q90.txt	0.002299522111871736	0.16891104307276272
Compactness(Pix)-SUMMARYcompactness3D.tsv_std.txt	0.0022923002501348774	0.23289857549124937
 -SUMMARYvol3D.tsv_var.txt	0.002185267285460695	0.5400712828245358
Frame-SUMMARYvol3D.tsv_var.txt	0.0021752313771541574	0.6166325561657926
 -SUMMARYsurf3D.tsv_q10.txt	0.0020129482498401977	0.2544504756803967
Unnamed: 0-SUMMARYvol3D.tsv_q25.txt	0.0019737809360450866	0.6094616689175059
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_mean.txt	0.001814303910426408	0.3806996017363209
LabelObj-SUMMARYsurf3D.tsv_var.txt	0.0017721041225314733	0.241019314727684
Sphericity(Unit)-SUMMARYcompactness3D.tsv_q90.txt	0.0017429226198197533	0.08200121245958192
Frame-SUMMARYvol3D.tsv_mean.txt	0.0016525853892622661	0.6244103339435705
Unnamed: 0-SUMMARYcompactness3D.tsv_max.txt	0.0016501632429495	0.21414879854795776
Sphericity(Pix)-SUMMARYcompactness3D.tsv_q90.txt	0.0016458442849120825	0.1775392946259533
SpherCorr(Pix)-SUMMARYcompactness3D.tsv_q75.txt	0.001623411846584537	0.0
Compactness(Pix)-SUMMARYcompactness3D.tsv_var.txt	0.0016027403059463397	0.22776630021578548
Sphericity(Unit)-SUMMARYcompactness3D.tsv_q10.txt	0.0015936745182976342	0.5386396835628195
Unnamed: 0-SUMMARYvol3D.tsv_std.txt	0.0015516177378118664	0.6094616689175059
 -SUMMARYcompactness3D.tsv_std.txt	0.0015351458389698302	0.26588731709568636
 -SUMMARYvol3D.tsv_max.txt	0.0015002820078962207	0.6094616689175059
CompactCorr(Pix)-SUMMARYcompactness3D.tsv_q10.txt	0.001488320925370346	0.36231312205243427
Compactness(Pix)-SUMMARYcompactness3D.tsv_q90.txt	0.0014726961018521124	0.19930239480836454
Area-SUMMARYvol3D.tsv_q75.txt	0.001466893039049236	0.3745600731175789
SurfaceNbPix-SUMMARYsurf3D.tsv_median.txt	0.001437908496732026	0.39200438613321076
