feature	RandomForest(n=200, p=1.0)	MutualInformation
Max-SUMMARYvol3D.tsv_q90.txt	0.02872566191544508	1.096414066884269
Max-SUMMARYvol3D.tsv_median.txt	0.021673392636664943	1.3208860736356873
Unnamed: 0-SUMMARYsurf3D.tsv_max.txt	0.020934120468435395	0.6906333892285912
Compactness(Pix)-SUMMARYcompactness3D.tsv_q10.txt	0.016085937671207452	0.8725605307145561
 -SUMMARYvol3D.tsv_q25.txt	0.016082177292671154	0.8898410279950539
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_q90.txt	0.015887366608727135	0.8416945706941847
Channel-SUMMARYvol3D.tsv_var.txt	0.015690807971009815	0.961626742280768
Unnamed: 0-SUMMARYvol3D.tsv_var.txt	0.014986671034378285	0.8654723411263667
 -SUMMARYvol3D.tsv_q10.txt	0.014364607920000437	0.8347815041855298
Unnamed: 0-SUMMARYvol3D.tsv_q10.txt	0.014044268181961419	0.8835910279950536
Max-SUMMARYvol3D.tsv_q75.txt	0.013875645433690482	0.424320812916015
Max-SUMMARYvol3D.tsv_max.txt	0.013151514666639906	0.5733460646250905
Unnamed: 0-SUMMARYsurf3D.tsv_q75.txt	0.01201182969382578	0.698133389228591
Min-SUMMARYvol3D.tsv_var.txt	0.011988932715210518	0.9657934089474347
Unnamed: 0-SUMMARYsurf3D.tsv_median.txt	0.011980581911275007	0.663629420974623
Area-SUMMARYvol3D.tsv_mean.txt	0.011965212812233467	0.8811139217679476
Unnamed: 0-SUMMARYvol3D.tsv_median.txt	0.01192380157907364	0.9356743613283871
 -SUMMARYvol3D.tsv_q90.txt	0.011867151348137988	0.8931148375188633
Unnamed: 0-SUMMARYcompactness3D.tsv_var.txt	0.011842443509540904	0.7371348248844385
 -SUMMARYvol3D.tsv_q75.txt	0.011479645498004589	0.8431148375188631
 -SUMMARYvol3D.tsv_var.txt	0.011326590147044322	0.8824595206135462
 -SUMMARYvol3D.tsv_median.txt	0.010510529959606791	0.8722815041855299
Frame-SUMMARYvol3D.tsv_std.txt	0.010419222827573078	0.949644419048445
Unnamed: 0-SUMMARYvol3D.tsv_max.txt	0.010402786432811471	0.8785315041855297
Unnamed: 0-SUMMARYcompactness3D.tsv_q10.txt	0.009933115828960469	0.6865460876412897
Mean-SUMMARYvol3D.tsv_std.txt	0.009890868000647484	0.9916483873024131
LabelObj-SUMMARYvol3D.tsv_var.txt	0.009799151016956166	0.8056628246624384
Max-SUMMARYvol3D.tsv_var.txt	0.009484139435620601	0.9378172184712441
 -SUMMARYsurf3D.tsv_q75.txt	0.00947084524369956	0.7075778336730361
