feature	RandomForest(n=200, p=1.0)	MutualInformation
Mean-SUMMARYvol3D.tsv_q90.txt	0.184691021934782	0.8170503306259911
Volume(Pix)-SUMMARYvol3D.tsv_mean.txt	0.14732932967741275	0.9058854423153029
Volume(Unit)-SUMMARYvol3D.tsv_var.txt	0.100410893337855	0.6178043114747318
Volume(Unit)-SUMMARYvol3D.tsv_std.txt	0.09517843815913787	0.6172448308285516
CompactDiscrete(Pix)-SUMMARYcompactness3D.tsv_mean.txt	0.07375380254267609	0.4219484258858097
Surface(Pix)-SUMMARYsurf3D.tsv_max.txt	0.07304725135611952	0.40124581489186273
Min-SUMMARYvol3D.tsv_q90.txt	0.042998235085393396	0.9131242412820215
Max-SUMMARYvol3D.tsv_q90.txt	0.026017046036664673	0.5576378752468427
Surface(Unit)-SUMMARYsurf3D.tsv_max.txt	0.017151442821912506	0.5254039975209948
Surface(Unit)-SUMMARYsurf3D.tsv_q90.txt	0.014691716903050265	0.5661428983544892
Volume(Pix)-SUMMARYvol3D.tsv_var.txt	0.011063637888704346	0.5750343455222486
Volume(Pix)-SUMMARYvol3D.tsv_std.txt	0.01025840691484193	0.5759384394037446
Surface(Unit)-SUMMARYsurf3D.tsv_var.txt	0.008591275599525768	0.5170662481176296
Volume(Unit)-SUMMARYvol3D.tsv_max.txt	0.0075957640571277345	0.3705270235279723
Mean-SUMMARYvol3D.tsv_max.txt	0.00621648784469681	0.20805217088726202
Max-SUMMARYvol3D.tsv_max.txt	0.0061097936700563625	0.17125955037234952
Min-SUMMARYvol3D.tsv_q75.txt	0.005676515527015785	0.8233393953128147
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_q90.txt	0.005254271882681774	0.19681916101333874
CompactCorr(Pix)-SUMMARYcompactness3D.tsv_q25.txt	0.0045305186850244615	0.1576791375975004
Area-SUMMARYvol3D.tsv_var.txt	0.0045278276578413065	0.5631777674821423
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_max.txt	0.004495012952241294	0.23212566432217008
SurfaceNbPix-SUMMARYsurf3D.tsv_mean.txt	0.004121031211059734	0.4816124010759104
Mean-SUMMARYvol3D.tsv_q75.txt	0.00384182904763441	0.7011665025417382
Area-SUMMARYvol3D.tsv_std.txt	0.0035656303731912797	0.5624858143249907
Min-SUMMARYvol3D.tsv_max.txt	0.003426618994353338	0.35831414578799436
Compactness(Pix)-SUMMARYcompactness3D.tsv_std.txt	0.003192534242101949	0.1992859201884607
Surface(Unit)-SUMMARYsurf3D.tsv_std.txt	0.003068566923372601	0.5153479794175957
Max-SUMMARYvol3D.tsv_q75.txt	0.0028807156905493064	0.6443593239937524
SpherCorr(Pix)-SUMMARYcompactness3D.tsv_q25.txt	0.002692702191406919	0.1536962644039419
Sphericity(Pix)-SUMMARYcompactness3D.tsv_mean.txt	0.002654437387627095	0.285464460798432
CompactDiscrete(Pix)-SUMMARYcompactness3D.tsv_std.txt	0.002516675362038629	0.20539544555543365
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_mean.txt	0.0024425417424115674	0.10685996119365049
Compactness(Pix)-SUMMARYcompactness3D.tsv_var.txt	0.0023755117706251096	0.2025810365014098
SpherCorr(Pix)-SUMMARYcompactness3D.tsv_q10.txt	0.002236702158455211	0.3015078963136819
Compactness(Unit)-SUMMARYcompactness3D.tsv_median.txt	0.0022332059674068623	0.20351305140057718
Surface(Pix)-SUMMARYsurf3D.tsv_mean.txt	0.00210841142399311	0.3825668196322436
CompactDiscrete(Pix)-SUMMARYcompactness3D.tsv_var.txt	0.002104901400047047	0.20471688859242088
SurfaceNbPix-SUMMARYsurf3D.tsv_q75.txt	0.002071191186953977	0.18049901191718076
Compactness(Pix)-SUMMARYcompactness3D.tsv_q25.txt	0.0019963954812046315	0.1770942260885917
CompactCorr(Pix)-SUMMARYcompactness3D.tsv_q10.txt	0.0019903114607730667	0.3019655583293144
Surface(Pix)-SUMMARYsurf3D.tsv_median.txt	0.0018139839172400688	0.18530897470387808
Surface(Pix)-SUMMARYsurf3D.tsv_q90.txt	0.001791765709936046	0.37280196339620253
SurfaceNbPix-SUMMARYsurf3D.tsv_q25.txt	0.0017342644558067243	0.2805905412301857
Sphericity(Unit)-SUMMARYcompactness3D.tsv_q10.txt	0.0017309484188124293	0.43887842085690876
Sphericity(Unit)-SUMMARYcompactness3D.tsv_min.txt	0.0016937594289886608	0.4499248126322237
Sphericity(Pix)-SUMMARYcompactness3D.tsv_q25.txt	0.0016663752666095791	0.16503707360216557
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_q75.txt	0.0015875073503387885	0.2915458378711415
Sphericity(Pix)-SUMMARYcompactness3D.tsv_var.txt	0.0015475452112875781	0.2705373338490027
Compactness(Pix)-SUMMARYcompactness3D.tsv_min.txt	0.0014688622724821744	0.4124479343971148
Sphericity(Pix)-SUMMARYcompactness3D.tsv_std.txt	0.001453985751776715	0.26868606940725304
LabelObj-SUMMARYsurf3D.tsv_std.txt	0.0013538285145849346	0.3553536248277238
Surface(Pix)-SUMMARYsurf3D.tsv_q75.txt	0.0013489602643933923	0.17499571345342435
LabelObj-SUMMARYcompactness3D.tsv_min.txt	0.0013449619039994842	0.3208334398616721
Area-SUMMARYvol3D.tsv_mean.txt	0.0013389168360089412	0.3683423868145479
SurfaceNbPix-SUMMARYsurf3D.tsv_q90.txt	0.001281973878261491	0.3777706826970182
Volume(Pix)-SUMMARYvol3D.tsv_max.txt	0.0012737327787585547	0.23743914344701667
Compactness(Unit)-SUMMARYcompactness3D.tsv_std.txt	0.00122274304582761	0.18686402926299728
LabelObj-SUMMARYcompactness3D.tsv_std.txt	0.001218350812472228	0.30130700019377343
Compactness(Pix)-SUMMARYcompactness3D.tsv_median.txt	0.0012097671051663416	0.18692587046257358
Compactness(Pix)-SUMMARYcompactness3D.tsv_q10.txt	0.0011382546954912067	0.3591102845494849
Surface(Unit)-SUMMARYsurf3D.tsv_mean.txt	0.0011237570365278619	0.3936506503330175
Volume(Pix)-SUMMARYvol3D.tsv_q90.txt	0.0010775534364164964	0.430308886084402
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_var.txt	0.001066850902433355	0.38341880959778485
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_mean.txt	0.0010620455285458373	0.28461294450167784
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_std.txt	0.0010446845294898614	0.31757939754440856
Sphericity(Pix)-SUMMARYcompactness3D.tsv_median.txt	0.001044597760168573	0.20543497007155231
Surface(Pix)-SUMMARYsurf3D.tsv_std.txt	0.0010385402734411297	0.39876412077793133
Compactness(Unit)-SUMMARYcompactness3D.tsv_mean.txt	0.0009751345501399905	0.2520933186869301
Volume(Unit)-SUMMARYvol3D.tsv_q90.txt	0.0009548915059562967	0.4529286782665207
Compactness(Pix)-SUMMARYcompactness3D.tsv_mean.txt	0.0009503394202659804	0.24217285672455136
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_q90.txt	0.000926832905071044	0.3149592975603195
LabelObj-SUMMARYsurf3D.tsv_var.txt	0.000909736373099755	0.2910007507455288
Compactness(Unit)-SUMMARYcompactness3D.tsv_var.txt	0.0008597764919787569	0.19284481243240403
Compactness(Unit)-SUMMARYcompactness3D.tsv_min.txt	0.0008458225471782352	0.5335339679448416
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_std.txt	0.0008454830160445181	0.3821666575781473
Compactness(Unit)-SUMMARYcompactness3D.tsv_q10.txt	0.0008147103370966119	0.4951284368450952
LabelObj-SUMMARYsurf3D.tsv_min.txt	0.0008102706349934291	0.29853016243107033
SurfaceNbPix-SUMMARYsurf3D.tsv_median.txt	0.0007820783009907254	0.1796579808682881
Min-SUMMARYvol3D.tsv_std.txt	0.0007739124526756218	0.5502555718103921
SurfaceNbPix-SUMMARYsurf3D.tsv_std.txt	0.0007673683928824691	0.4067893126026616
CompactDiscrete(Pix)-SUMMARYcompactness3D.tsv_max.txt	0.000767244241318482	0.2649324916332305
Surface(Pix)-SUMMARYsurf3D.tsv_var.txt	0.0007504615415580268	0.39942428543648245
 -SUMMARYvol3D.tsv_mean.txt	0.0007465126667084472	0.6494810228291477
Mean-SUMMARYvol3D.tsv_median.txt	0.0007019741567574875	0.598523133746711
Unnamed: 0-SUMMARYvol3D.tsv_q10.txt	0.0006955504199271324	0.6483523895576575
Sphericity(Pix)-SUMMARYcompactness3D.tsv_q10.txt	0.0006735004527394031	0.2869323368681802
Surface(Unit)-SUMMARYsurf3D.tsv_q75.txt	0.000672295916828074	0.3527321558305121
Min-SUMMARYvol3D.tsv_var.txt	0.0006708453885172929	0.5494057443940303
Compactness(Unit)-SUMMARYcompactness3D.tsv_q25.txt	0.0006653084580124432	0.28427550130783663
LabelObj-SUMMARYcompactness3D.tsv_var.txt	0.000664927182150642	0.2761679498004228
Surface(Pix)-SUMMARYsurf3D.tsv_q25.txt	0.0006621269920526688	0.2750539945564183
Unnamed: 0-SUMMARYcompactness3D.tsv_max.txt	0.0006606320129009305	0.23395499644012308
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_max.txt	0.0006412957641995537	0.29243737467176345
CompactCorr(Pix)-SUMMARYcompactness3D.tsv_median.txt	0.00061780352307036	0.06799149992989495
Surface(Unit)-SUMMARYsurf3D.tsv_q25.txt	0.0006148589103779974	0.24457573279928235
CompactDiscrete(Pix)-SUMMARYcompactness3D.tsv_median.txt	0.0006070562961702449	0.06397926219856442
Max-SUMMARYvol3D.tsv_var.txt	0.0006064262169740326	0.5625163725546014
LabelObj-SUMMARYsurf3D.tsv_q75.txt	0.000587283369343858	0.30130613615442536
Sphericity(Unit)-SUMMARYcompactness3D.tsv_median.txt	0.0005840869834637461	0.2206637304620851
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_q75.txt	0.0005825821248552331	0.15988223857454376
CompactDiscrete(Pix)-SUMMARYcompactness3D.tsv_q90.txt	0.0005766549630873449	0.25749907764152224
LabelObj-SUMMARYcompactness3D.tsv_q90.txt	0.0005739190116938793	0.29058483294823745
CompactCorr(Pix)-SUMMARYcompactness3D.tsv_min.txt	0.0005710646507867203	0.24564659651124376
LabelObj-SUMMARYcompactness3D.tsv_q75.txt	0.0005688747004067165	0.3402735968358017
 -SUMMARYcompactness3D.tsv_max.txt	0.0005430393638497671	0.2659190225483794
Sphericity(Unit)-SUMMARYcompactness3D.tsv_std.txt	0.0005430198638559127	0.24543807430272668
SurfaceNbPix-SUMMARYsurf3D.tsv_var.txt	0.0005382440766236804	0.4066558320296847
Unnamed: 0-SUMMARYsurf3D.tsv_q90.txt	0.0005348997783544097	0.2540505947623375
Sphericity(Unit)-SUMMARYcompactness3D.tsv_q25.txt	0.0005306715881515136	0.33288242723848893
 -SUMMARYvol3D.tsv_std.txt	0.000527879225955487	0.6494810228291477
Unnamed: 0-SUMMARYsurf3D.tsv_median.txt	0.0005072838705427575	0.2663492672980303
Unnamed: 0-SUMMARYsurf3D.tsv_q75.txt	0.000506670543668509	0.24819081061971993
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_median.txt	0.000501059338981646	0.13176909092778422
 -SUMMARYcompactness3D.tsv_mean.txt	0.0004960968891298176	0.2522613478067428
Min-SUMMARYvol3D.tsv_median.txt	0.0004891723040844654	0.6706304999046566
Sphericity(Unit)-SUMMARYcompactness3D.tsv_var.txt	0.0004886465002136497	0.24502966031491624
SpherCorr(Pix)-SUMMARYcompactness3D.tsv_median.txt	0.0004864055537510289	0.07129114463743358
 -SUMMARYvol3D.tsv_max.txt	0.00046301351355735237	0.6483523895576575
Unnamed: 0-SUMMARYcompactness3D.tsv_q90.txt	0.00046010775451198085	0.2531970979598537
Mean-SUMMARYvol3D.tsv_mean.txt	0.0004599898020065844	0.612534821966737
Volume(Unit)-SUMMARYvol3D.tsv_mean.txt	0.0004548814993393217	0.625539031575838
 -SUMMARYsurf3D.tsv_q10.txt	0.00045135460774183776	0.25603212890175087
 -SUMMARYvol3D.tsv_var.txt	0.00045020899191197927	0.6461032397782684
 -SUMMARYcompactness3D.tsv_q90.txt	0.00044608044782309226	0.23907816086032563
 -SUMMARYvol3D.tsv_q10.txt	0.00044410312143849365	0.6483523895576575
Sphericity(Unit)-SUMMARYcompactness3D.tsv_mean.txt	0.00044309641034019105	0.25403785947411084
LabelObj-SUMMARYcompactness3D.tsv_q10.txt	0.0004403303302715008	0.3366901705091876
Sphericity(Pix)-SUMMARYcompactness3D.tsv_q90.txt	0.00044005957345710176	0.2812784888325335
Unnamed: 0-SUMMARYvol3D.tsv_std.txt	0.0004341152976842862	0.6483523895576575
Unnamed: 0-SUMMARYvol3D.tsv_q25.txt	0.0004324225257114979	0.6494810228291477
Unnamed: 0-SUMMARYvol3D.tsv_q90.txt	0.0004311915070238056	0.6494810228291477
LabelObj-SUMMARYcompactness3D.tsv_mean.txt	0.0004269449701987062	0.35735845726377113
 -SUMMARYvol3D.tsv_median.txt	0.00042254600630188684	0.6494810228291477
LabelObj-SUMMARYsurf3D.tsv_median.txt	0.00041737498563505283	0.3094063457015417
Sphericity(Pix)-SUMMARYcompactness3D.tsv_min.txt	0.0004128372175463102	0.3404304522610766
Sphericity(Unit)-SUMMARYcompactness3D.tsv_q90.txt	0.0004115988004117953	0.2887066100258293
Volume(Pix)-SUMMARYvol3D.tsv_q75.txt	0.0004019429129317251	0.37184197641552563
LabelObj-SUMMARYsurf3D.tsv_q25.txt	0.0004000143992440286	0.35143364877895333
Compactness(Unit)-SUMMARYcompactness3D.tsv_q75.txt	0.00039947293529064945	0.2264301225169394
SpherCorr(Pix)-SUMMARYcompactness3D.tsv_min.txt	0.00039805556419517747	0.27439087723624667
 -SUMMARYsurf3D.tsv_max.txt	0.000397019553407653	0.26866541666107535
 -SUMMARYcompactness3D.tsv_q75.txt	0.00038764089099719136	0.2838079666806208
Min-SUMMARYvol3D.tsv_mean.txt	0.0003869636259070343	0.6201955008826923
Unnamed: 0-SUMMARYsurf3D.tsv_mean.txt	0.00038679454938765726	0.24846704516648455
Unnamed: 0-SUMMARYcompactness3D.tsv_median.txt	0.00038534184165918525	0.2355260095654801
CompactCorr(Pix)-SUMMARYcompactness3D.tsv_q90.txt	0.00038475960262501633	0.06297748352060983
SurfaceNbPix-SUMMARYsurf3D.tsv_max.txt	0.00038439484670177904	0.254630303648109
LabelObj-SUMMARYvol3D.tsv_mean.txt	0.00038303743930156076	0.5438016618765851
 -SUMMARYcompactness3D.tsv_median.txt	0.00038119770296012956	0.2743492888357224
Unnamed: 0-SUMMARYcompactness3D.tsv_q25.txt	0.000376450683974029	0.24538596846287408
Surface(Pix)-SUMMARYsurf3D.tsv_q10.txt	0.00037556409652778213	0.2874736260633499
 -SUMMARYvol3D.tsv_q90.txt	0.00037516608440906526	0.6494810228291477
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_q25.txt	0.0003731215644607916	0.1515863419304977
LabelObj-SUMMARYvol3D.tsv_q90.txt	0.00035861009802097473	0.49830685356230475
 -SUMMARYvol3D.tsv_q25.txt	0.0003475034141025709	0.6494810228291477
Unnamed: 0-SUMMARYvol3D.tsv_mean.txt	0.00034456907471947385	0.6494810228291477
Unnamed: 0-SUMMARYcompactness3D.tsv_q75.txt	0.0003387158690403705	0.27387770110211784
SpherDiscrete(Pix)-SUMMARYcompactness3D.tsv_var.txt	0.0003338896994126971	0.3188732794557205
Mean-SUMMARYvol3D.tsv_std.txt	0.00033162151815587323	0.5230883983544583
Unnamed: 0-SUMMARYsurf3D.tsv_q10.txt	0.00032454217959884847	0.26609690902817507
Unnamed: 0-SUMMARYvol3D.tsv_max.txt	0.00032336272617009525	0.6494810228291477
Sphericity(Pix)-SUMMARYcompactness3D.tsv_q75.txt	0.0003209032955780057	0.25661201464135
Unnamed: 0-SUMMARYvol3D.tsv_var.txt	0.0003196125581650508	0.6467216689681261
Unnamed: 0-SUMMARYsurf3D.tsv_var.txt	0.0003181010708694861	0.2644102214516071
Unnamed: 0-SUMMARYvol3D.tsv_q75.txt	0.00030448021936150665	0.6494810228291477
 -SUMMARYsurf3D.tsv_var.txt	0.0003011841971110163	0.258585901517582
 -SUMMARYsurf3D.tsv_q25.txt	0.0002978468386881496	0.2791574971507238
Unnamed: 0-SUMMARYvol3D.tsv_median.txt	0.00029605276661516614	0.6494810228291477
Unnamed: 0-SUMMARYsurf3D.tsv_q25.txt	0.00029246658076736434	0.2565549569524457
LabelObj-SUMMARYsurf3D.tsv_mean.txt	0.00028229756814228873	0.3269347290033988
LabelObj-SUMMARYvol3D.tsv_var.txt	0.00027853017988126427	0.46921120956132456
Unnamed: 0-SUMMARYcompactness3D.tsv_mean.txt	0.00025989275616013213	0.23723750083350126
Volume(Unit)-SUMMARYvol3D.tsv_q75.txt	0.0002543763082678912	0.43230457100151165
 -SUMMARYsurf3D.tsv_q75.txt	0.0002543531911421223	0.2623794795300003
LabelObj-SUMMARYcompactness3D.tsv_median.txt	0.0002541410134238752	0.3040089155290917
Max-SUMMARYvol3D.tsv_q25.txt	0.00024654820329246335	0.4068481797930934
Mean-SUMMARYvol3D.tsv_var.txt	0.00024556380460151846	0.5242371584826235
Compactness(Pix)-SUMMARYcompactness3D.tsv_q75.txt	0.0002309904559765815	0.2946699530887038
Surface(Unit)-SUMMARYsurf3D.tsv_median.txt	0.00023050287331535162	0.18101627254924413
 -SUMMARYcompactness3D.tsv_std.txt	0.00022914274999018952	0.25063523060523885
Unnamed: 0-SUMMARYcompactness3D.tsv_std.txt	0.00022773871192808604	0.256595876361855
Max-SUMMARYvol3D.tsv_std.txt	0.00022210715912629678	0.562953314864008
Max-SUMMARYvol3D.tsv_mean.txt	0.00021533122431107078	0.5970037565407327
SurfaceNbPix-SUMMARYsurf3D.tsv_q10.txt	0.00019876148735211547	0.2791609422275845
 -SUMMARYsurf3D.tsv_q90.txt	0.0001880095613717464	0.23525226993835835
 -SUMMARYcompactness3D.tsv_q25.txt	0.00018800928210792336	0.26353460495723713
Surface(Unit)-SUMMARYsurf3D.tsv_q10.txt	0.0001830045001288372	0.25665174200438834
Compactness(Pix)-SUMMARYcompactness3D.tsv_q90.txt	0.00018214102093032218	0.2818521543359336
 -SUMMARYvol3D.tsv_q75.txt	0.00017872024003432032	0.6483523895576575
Unnamed: 0-SUMMARYcompactness3D.tsv_var.txt	0.0001770795503892724	0.25343269819343206
 -SUMMARYsurf3D.tsv_median.txt	0.00017576231163709576	0.2573728566664504
 -SUMMARYsurf3D.tsv_std.txt	0.00016939115153561364	0.25398766609363754
 -SUMMARYcompactness3D.tsv_q10.txt	0.00016755780700835777	0.28781144337624465
