feature	RandomForest(n=200, p=1.0)	MutualInformation
Mean-SUMMARYvol3D.tsv_q90.txt	0.11874074847884816	1.0483796376867789
Max-SUMMARYvol3D.tsv_q90.txt	0.11097704825532811	0.8994531717842462
SurfaceNbPix-SUMMARYsurf3D.tsv_mean.txt	0.06550319315511365	0.48560609439213787
Volume(Pix)-SUMMARYvol3D.tsv_var.txt	0.054292841495889185	0.7042467903098009
Volume(Pix)-SUMMARYvol3D.tsv_std.txt	0.04620139913224072	0.7058996384695286
Volume(Unit)-SUMMARYvol3D.tsv_std.txt	0.04568261311439289	0.7058996384695286
Volume(Unit)-SUMMARYvol3D.tsv_var.txt	0.037458588240405585	0.7042467903098009
Max-SUMMARYvol3D.tsv_q75.txt	0.03212824266108568	0.9917071238170714
Mean-SUMMARYvol3D.tsv_q75.txt	0.026700727091247413	1.099101003642447
Volume(Pix)-SUMMARYvol3D.tsv_q90.txt	0.024881524477127045	0.6073226801500147
Volume(Unit)-SUMMARYvol3D.tsv_q90.txt	0.022987326190245485	0.6108941087214432
Max-SUMMARYvol3D.tsv_median.txt	0.021672791030252346	0.9126298051092907
CompactDiscrete(Pix)-SUMMARYcompactness3D.tsv_mean.txt	0.020646946128823444	0.564046355696393
Compactness(Unit)-SUMMARYcompactness3D.tsv_q10.txt	0.018679531699661498	0.560692675461496
Min-SUMMARYvol3D.tsv_q90.txt	0.01798153144977969	1.1351724147061384
SpherCorr(Pix)-SUMMARYcompactness3D.tsv_q10.txt	0.015253475571156756	0.5585317414550066
CompactCorr(Pix)-SUMMARYcompactness3D.tsv_q10.txt	0.013041370694882629	0.5542704000931815
SurfaceCorr(Pix)-SUMMARYsurf3D.tsv_mean.txt	0.012722336091533162	0.49967998022164006
Area-SUMMARYvol3D.tsv_mean.txt	0.012299964293384688	0.7713511755289153
SurfaceNbPix-SUMMARYsurf3D.tsv_q90.txt	0.012212125687771018	0.5650516219627013
Mean-SUMMARYvol3D.tsv_median.txt	0.010846032522308702	0.9204874607973299
Max-SUMMARYvol3D.tsv_max.txt	0.010360841276312429	0.07316225600770698
Surface(Unit)-SUMMARYsurf3D.tsv_q90.txt	0.010135230073998486	0.5583745231331267
Sphericity(Pix)-SUMMARYcompactness3D.tsv_q10.txt	0.009454246074018171	0.5229909745462935
Sphericity(Unit)-SUMMARYcompactness3D.tsv_q10.txt	0.007441817859309745	0.5108177520700212
Unnamed: 0-SUMMARYvol3D.tsv_max.txt	0.006916126439964948	0.9709078188557987
