feature	RandomForest(n=200, p=1.0)	MutualInformation
minProp-SUMMARYCustomAlgos.tsv_min.txt	0.12400438531407736	0.3985552698003767
counts(inten<0.1-SUMMARYCustomAlgos.tsv_median.txt	0.08572951888554722	0.43177301628110465
meanNormalized-SUMMARYCustomAlgos.tsv_median.txt	0.0758952521176501	0.7910156151581256
counts(inten<0.2Normalized-SUMMARYCustomAlgos.tsv_q10.txt	0.040931734274843846	0.6746646257320381
min-SUMMARYCustomAlgos.tsv_var.txt	0.031595736357004085	0.47414328370178405
counts(inten<0.1Normalized-SUMMARYCustomAlgos.tsv_max.txt	0.029677602258014205	0.6331605839781984
medNormalized-SUMMARYCustomAlgos.tsv_max.txt	0.027352289945994198	0.6428778282459153
stdNormalized-SUMMARYCustomAlgos.tsv_q75.txt	0.02341268951275706	0.49674485961876425
min-SUMMARYCustomAlgos.tsv_std.txt	0.021858988065093243	0.47242338564553643
counts(inten<0.2Normalized-SUMMARYCustomAlgos.tsv_q25.txt	0.01591526680348617	0.6622852912651132
std-SUMMARYCustomAlgos.tsv_max.txt	0.014725848509337254	0.34582577883908616
minProp-SUMMARYCustomAlgos.tsv_q10.txt	0.013920426184378689	0.3464214464621409
diffNormalized-SUMMARYCustomAlgos.tsv_q10.txt	0.010390242722901823	0.4518107622505312
minNormalized-SUMMARYCustomAlgos.tsv_q25.txt	0.00992415559167058	0.4835144027028848
counts(inten<0.7000000000000001Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.009794824838654403	0.31076728598127
diff-SUMMARYCustomAlgos.tsv_median.txt	0.009748919767763715	0.3096191702013247
counts(inten<0.5Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.009257094157451268	0.4850214771739605
medNormalized-SUMMARYCustomAlgos.tsv_q75.txt	0.00828804966953836	0.3087782628032736
counts(inten<0.6Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.008164359155485015	0.37082551319891666
minNormalized-SUMMARYCustomAlgos.tsv_std.txt	0.007994938812451233	0.47626962060020483
min-SUMMARYCustomAlgos.tsv_q90.txt	0.007924286950132326	0.3997900938769545
minPropNormalized-SUMMARYCustomAlgos.tsv_median.txt	0.007686027540771682	0.4828072936162
minProp-SUMMARYCustomAlgos.tsv_q25.txt	0.007649897720302318	0.49437442414729027
max-SUMMARYCustomAlgos.tsv_median.txt	0.007350851256255857	0.1401324173261731
counts(inten<0.1-SUMMARYCustomAlgos.tsv_q25.txt	0.006754445457588184	0.5618408139880331
counts(inten<0.30000000000000004-SUMMARYCustomAlgos.tsv_std.txt	0.00651081283750931	0.2851549605636161
counts(inten<0.4Normalized-SUMMARYCustomAlgos.tsv_q90.txt	0.006263732890867922	0.48003152482112643
stdNormalized-SUMMARYCustomAlgos.tsv_q25.txt	0.006192062793273636	0.5119806919321204
minNormalized-SUMMARYCustomAlgos.tsv_q10.txt	0.006087643319314855	0.4274346555898183
minNormalized-SUMMARYCustomAlgos.tsv_var.txt	0.006043635029847217	0.475011815879554
medNormalized-SUMMARYCustomAlgos.tsv_var.txt	0.005978493306781773	0.654271640386634
counts(inten<0.1-SUMMARYCustomAlgos.tsv_var.txt	0.00579417471996079	0.6454950743348493
counts(inten<0.1Normalized-SUMMARYCustomAlgos.tsv_min.txt	0.005785130771354941	0.5084263725592906
stdNormalized-SUMMARYCustomAlgos.tsv_median.txt	0.005761369699675794	0.39604661625202064
counts(inten<0.4-SUMMARYCustomAlgos.tsv_q75.txt	0.005656246718576523	0.2889506049060029
diffNormalized-SUMMARYCustomAlgos.tsv_min.txt	0.005226092920710106	0.47180382417094524
counts(inten<0.1Normalized-SUMMARYCustomAlgos.tsv_std.txt	0.005124856237927184	0.6995700582956133
counts(inten<0.1-SUMMARYCustomAlgos.tsv_std.txt	0.005050109591151491	0.647031873572296
diffNormalized-SUMMARYCustomAlgos.tsv_q75.txt	0.004941477488886934	0.47242577252180196
counts(inten<0.2Normalized-SUMMARYCustomAlgos.tsv_min.txt	0.004894184945530399	0.6167529049689824
medNormalized-SUMMARYCustomAlgos.tsv_std.txt	0.0048418732806092555	0.6548327151878115
counts(inten<0.6Normalized-SUMMARYCustomAlgos.tsv_var.txt	0.004768034277775095	0.3409444159088437
counts(inten<0.30000000000000004-SUMMARYCustomAlgos.tsv_var.txt	0.004344214859146181	0.283584604353325
counts(inten<0.1Normalized-SUMMARYCustomAlgos.tsv_q90.txt	0.004154235815212869	0.6431147937516553
minNormalized-SUMMARYCustomAlgos.tsv_q75.txt	0.0041197971205948905	0.2837453448275693
counts(inten<0.4Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.004049251549890554	0.5581280281661694
minPropNormalized-SUMMARYCustomAlgos.tsv_q25.txt	0.0040241028801822655	0.2259963120913202
diff-SUMMARYCustomAlgos.tsv_q90.txt	0.003898437025638086	0.33529371803454433
std-SUMMARYCustomAlgos.tsv_q90.txt	0.0036593404753953473	0.3455015400590833
counts(inten<0.1Normalized-SUMMARYCustomAlgos.tsv_var.txt	0.0036433388937090632	0.6991835081924336
counts(inten<0.1-SUMMARYCustomAlgos.tsv_q75.txt	0.0036129243150697077	0.35539822593157533
counts(inten<0.5Normalized-SUMMARYCustomAlgos.tsv_q90.txt	0.0036095844259817654	0.41509967576286044
minNormalized-SUMMARYCustomAlgos.tsv_median.txt	0.003447566601010343	0.1505397762462488
counts(inten<0.1Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.0034400896548188	0.3009558128752432
counts(inten<0.1-SUMMARYCustomAlgos.tsv_max.txt	0.0033578579071903768	0.37654387413603585
diff-SUMMARYCustomAlgos.tsv_q75.txt	0.0033460738182107567	0.3707636255608455
std-SUMMARYCustomAlgos.tsv_var.txt	0.0032384446923566673	0.21706068619618257
medNormalized-SUMMARYCustomAlgos.tsv_min.txt	0.0032241854224181543	0.359846456451808
minNormalized-SUMMARYCustomAlgos.tsv_q90.txt	0.003105766853839626	0.40336079330744523
diff-SUMMARYCustomAlgos.tsv_var.txt	0.0030532519010081764	0.4935298968797075
counts(inten<0.1-SUMMARYCustomAlgos.tsv_mean.txt	0.0030351770802380927	0.4257428584166574
minPropNormalized-SUMMARYCustomAlgos.tsv_max.txt	0.002999725542002814	0.2952598059566185
counts(inten<0.1-SUMMARYCustomAlgos.tsv_min.txt	0.0029157372427493157	0.45569551904249295
counts(inten<0.4-SUMMARYCustomAlgos.tsv_var.txt	0.002860623431116711	0.3060899567892017
counts(inten<0.6Normalized-SUMMARYCustomAlgos.tsv_std.txt	0.0028020407481218236	0.34322927141510773
minPropNormalized-SUMMARYCustomAlgos.tsv_min.txt	0.0027961748651925506	0.4684122994569937
medNormalized-SUMMARYCustomAlgos.tsv_q10.txt	0.002747965238671774	0.35143523721057734
std-SUMMARYCustomAlgos.tsv_std.txt	0.0026345955661627386	0.21784144092734126
minNormalized-SUMMARYCustomAlgos.tsv_max.txt	0.002597787209378419	0.32539276251678073
counts(inten<0.4-SUMMARYCustomAlgos.tsv_std.txt	0.002484714623312203	0.30782536820210016
