feature	RandomForest(n=200, p=1.0)	MutualInformation
counts(Norminten<0.8799999999999996-SUMMARYCustomAlgos.tsv_max.txt	0.007557485137786261	0.7805263077509319
counts(Norminten<0.8799999999999996-SUMMARYCustomAlgos.tsv_q90.txt	0.00717085357215681	0.819493846205698
counts(Norminten<0.8599999999999995-SUMMARYCustomAlgos.tsv_median.txt	0.007003139558635659	0.7812498558095404
counts(Norminten<0.8499999999999996-SUMMARYCustomAlgos.tsv_q90.txt	0.0065536404407548305	0.7772349266549696
counts(Norminten<0.8499999999999996-SUMMARYCustomAlgos.tsv_max.txt	0.006371991454485607	0.7759104666854566
counts(Norminten<0.8499999999999996-SUMMARYCustomAlgos.tsv_q10.txt	0.006183392774064939	0.769162857925076
counts(Norminten<0.8799999999999996-SUMMARYCustomAlgos.tsv_q75.txt	0.0060554388294237795	0.7966330056814215
counts(Norminten<0.8799999999999996-SUMMARYCustomAlgos.tsv_median.txt	0.0060247750672291255	0.7531490851247402
counts(Norminten<0.14999999999999997-SUMMARYCustomAlgos.tsv_max.txt	0.005982753598728596	0.31257578568591393
counts(Norminten<0.8499999999999996-SUMMARYCustomAlgos.tsv_q75.txt	0.00588862682149102	0.7525850044563271
counts(Norminten<0.15999999999999998-SUMMARYCustomAlgos.tsv_max.txt	0.005694216955797229	0.34239417545293627
counts(Norminten<0.15999999999999998-SUMMARYCustomAlgos.tsv_q90.txt	0.00558265336642162	0.34059864175966226
counts(Norminten<0.8599999999999995-SUMMARYCustomAlgos.tsv_q75.txt	0.005558661897571775	0.8035570483690662
counts(Norminten<0.14999999999999997-SUMMARYCustomAlgos.tsv_q90.txt	0.005531090729415162	0.3106436521904601
counts(Norminten<0.8899999999999996-SUMMARYCustomAlgos.tsv_max.txt	0.005505418307538083	0.7926833395568424
counts(Norminten<0.14999999999999997-SUMMARYCustomAlgos.tsv_median.txt	0.005439234113097611	0.31220623157044436
counts(Norminten<0.15999999999999998-SUMMARYCustomAlgos.tsv_min.txt	0.0052428755570584195	0.3400010277695684
counts(Norminten<0.8799999999999996-SUMMARYCustomAlgos.tsv_min.txt	0.005204487698017795	0.8164350117149906
counts(Norminten<0.15999999999999998-SUMMARYCustomAlgos.tsv_q25.txt	0.005136417759354784	0.34141292591131434
counts(Norminten<0.8799999999999996-SUMMARYCustomAlgos.tsv_q25.txt	0.00508204872478925	0.8054259090162668
counts(Norminten<0.8199999999999996-SUMMARYCustomAlgos.tsv_mean.txt	0.004973686600099035	0.7948286506467785
counts(Norminten<0.8699999999999996-SUMMARYCustomAlgos.tsv_median.txt	0.004696149409928132	0.7182727377848717
counts(Norminten<0.8799999999999996-SUMMARYCustomAlgos.tsv_mean.txt	0.004654795144662397	0.7683693543016172
counts(Norminten<0.15999999999999998-SUMMARYCustomAlgos.tsv_q75.txt	0.004634376647635263	0.34046984098151656
counts(Norminten<0.8599999999999995-SUMMARYCustomAlgos.tsv_q10.txt	0.004565834360389947	0.7944478083052227
counts(Norminten<0.15999999999999998-SUMMARYCustomAlgos.tsv_median.txt	0.004500570558611736	0.3394089768636488
counts(Norminten<0.8199999999999996-SUMMARYCustomAlgos.tsv_q10.txt	0.004423061345025433	0.8021518870662034
counts(Norminten<0.8199999999999996-SUMMARYCustomAlgos.tsv_min.txt	0.004346643584861473	0.8140256216118122
counts(inten<0.7599999999999997-SUMMARYCustomAlgos.tsv_q25.txt	0.004336176531972136	0.4235258934450079
counts(Norminten<0.8199999999999996-SUMMARYCustomAlgos.tsv_max.txt	0.004288464273490831	0.7748959461284164
counts(Norminten<0.8399999999999996-SUMMARYCustomAlgos.tsv_q90.txt	0.0041774838830557605	0.708905213282546
counts(Norminten<0.8199999999999996-SUMMARYCustomAlgos.tsv_q90.txt	0.004165524508718767	0.7932247531376526
