feature	RandomForest(n=200, p=1.0)	MutualInformation
minProp-SUMMARYCustomAlgos.tsv_min.txt	0.11668654322444369	0.4816625263851595
counts(inten<0.1-SUMMARYCustomAlgos.tsv_median.txt	0.084215950377865	0.4488505684164945
meanNormalized-SUMMARYCustomAlgos.tsv_median.txt	0.041191878030092874	0.7396725173892249
minProp-SUMMARYCustomAlgos.tsv_q10.txt	0.03526702185517058	0.35930019814703007
counts(inten<0.15000000000000002Normalized-SUMMARYCustomAlgos.tsv_max.txt	0.030316330609987507	0.680868268355797
min-SUMMARYCustomAlgos.tsv_std.txt	0.028774135337416646	0.49038151602975244
counts(inten<0.20000000000000004Normalized-SUMMARYCustomAlgos.tsv_q10.txt	0.025729828477389576	0.6081912029798611
medNormalized-SUMMARYCustomAlgos.tsv_var.txt	0.024010066507750123	0.6299779991409911
counts(inten<0.20000000000000004Normalized-SUMMARYCustomAlgos.tsv_q25.txt	0.022047839944336428	0.6398546842362465
min-SUMMARYCustomAlgos.tsv_var.txt	0.021728599330865146	0.4911093897559531
counts(inten<0.1Normalized-SUMMARYCustomAlgos.tsv_max.txt	0.019743694851065408	0.6295963744331603
medNormalized-SUMMARYCustomAlgos.tsv_std.txt	0.01562777150736335	0.6305793796685455
stdNormalized-SUMMARYCustomAlgos.tsv_q75.txt	0.015001446831058023	0.5254576371126882
counts(inten<0.1Normalized-SUMMARYCustomAlgos.tsv_var.txt	0.013740397388154435	0.7060178754252666
counts(inten<0.1Normalized-SUMMARYCustomAlgos.tsv_std.txt	0.013523300860034936	0.7062696224811758
stdNormalized-SUMMARYCustomAlgos.tsv_q25.txt	0.011993583814655678	0.5301994009744515
diffNormalized-SUMMARYCustomAlgos.tsv_q10.txt	0.011132958569528381	0.47416072512926943
counts(inten<0.8000000000000002Normalized-SUMMARYCustomAlgos.tsv_min.txt	0.010938673566668333	0.17295625825352356
std-SUMMARYCustomAlgos.tsv_max.txt	0.008805242030215335	0.34110233564552583
diffNormalized-SUMMARYCustomAlgos.tsv_q75.txt	0.008437865842127627	0.4445918196168597
minNormalized-SUMMARYCustomAlgos.tsv_q75.txt	0.007882061678057531	0.3429851605980607
minProp-SUMMARYCustomAlgos.tsv_q25.txt	0.007346971588465425	0.45056338338923085
counts(inten<0.6000000000000002Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.0069555265923616025	0.3539575393073848
counts(inten<0.1Normalized-SUMMARYCustomAlgos.tsv_min.txt	0.0069347757524968875	0.5673292698060779
minNormalized-SUMMARYCustomAlgos.tsv_min.txt	0.006734932505574535	0.4581522357585719
counts(inten<0.20000000000000004Normalized-SUMMARYCustomAlgos.tsv_min.txt	0.006177965282943483	0.5707847105115107
diff-SUMMARYCustomAlgos.tsv_median.txt	0.006050803463439369	0.3703949857007651
medNormalized-SUMMARYCustomAlgos.tsv_max.txt	0.005973308037379812	0.577654111731591
