	tag	model	upsampling	n_components	fold	accuracy	test_set	thr_features
0	RESULT	DummyClassifier()	1	16	0	0.5	L1323,Control	True
132	RESULT	DummyClassifier()	1	2	1	0.5	L1323,Control	False
133	RESULT	DecisionTreeClassifier()	1	2	1	0.5	L1323,Control	False
134	RESULT	LogisticRegression()	1	2	1	0.5	L1323,Control	False
136	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	2	1	0.5	L1323,Control	False
137	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	2	1	0.5	L1323,Control	False
138	RESULT	DummyClassifier()	1	2	2	0.5	L1323,Control	False
139	RESULT	DecisionTreeClassifier()	1	2	2	0.5	L1323,Control	False
140	RESULT	LogisticRegression()	1	2	2	0.5	L1323,Control	False
141	RESULT	RandomForestClassifier()	1	2	2	0.5	L1323,Control	False
142	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	2	2	0.5	L1323,Control	False
143	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	2	2	0.5	L1323,Control	False
144	RESULT	DummyClassifier()	1	16	0	0.5	L1323,Control	True
