	tag	model	upsampling	n_components	fold	accuracy	test_set	thr_features
0	RESULT	RandomForestClassifier()	1	32	0	0.5074626865671642	L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L394,L394,L394,L394,L394,L634,L634,L634,L634,L634,L628,L628,L628,L628,L628,L628,L628,L628,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L394,L394,L394,L455,L455,L455,19115,19115,19115,19115	True
1	RESULT	RandomForestClassifier()	1	32	1	0.7164179104477612	L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L1764,L1764,L634,L634,L634,L634,L634,L634,L1323,L1323,L1323,L1323,L1323,L1764,L1764,L1764,L1764,L1764,L628,L628,L628,L628,L628,L394,L394,L394,L394,L394,L394,L394,L455,L455,L455,L455,L455,L455,L455,L394,L1323,L1323,L1823,L1823,19115,19115,19115,19115,19115,19115,L628,L628,19115,19115,L455,L455,L1764,L634,L634	True
2	RESULT	RandomForestClassifier()	1	32	2	0.3939393939393939	L394,L394,L394,L394,L394,L394,L394,L394,L394,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L628,L628,L628,L628,L628,L628,19115,19115,19115,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L455,L455,L455,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,L634,L634,L634,L634	True
3	RESULT	DummyClassifier()	1	32	0	0.11940298507462686	L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L394,L394,L394,L394,L394,L634,L634,L634,L634,L634,L628,L628,L628,L628,L628,L628,L628,L628,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L394,L394,L394,L455,L455,L455,19115,19115,19115,19115	True
4	RESULT	DummyClassifier()	1	32	1	0.11940298507462686	L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L1764,L1764,L634,L634,L634,L634,L634,L634,L1323,L1323,L1323,L1323,L1323,L1764,L1764,L1764,L1764,L1764,L628,L628,L628,L628,L628,L394,L394,L394,L394,L394,L394,L394,L455,L455,L455,L455,L455,L455,L455,L394,L1323,L1323,L1823,L1823,19115,19115,19115,19115,19115,19115,L628,L628,19115,19115,L455,L455,L1764,L634,L634	True
5	RESULT	DummyClassifier()	1	32	2	0.12121212121212122	L394,L394,L394,L394,L394,L394,L394,L394,L394,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L628,L628,L628,L628,L628,L628,19115,19115,19115,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L455,L455,L455,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,L634,L634,L634,L634	True
6	RESULT	RandomForestClassifier()	1	2080	0	0.5671641791044776	L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L394,L394,L394,L394,L394,L634,L634,L634,L634,L634,L628,L628,L628,L628,L628,L628,L628,L628,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L394,L394,L394,L455,L455,L455,19115,19115,19115,19115	True
7	RESULT	RandomForestClassifier()	1	2080	1	0.7313432835820896	L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L1764,L1764,L634,L634,L634,L634,L634,L634,L1323,L1323,L1323,L1323,L1323,L1764,L1764,L1764,L1764,L1764,L628,L628,L628,L628,L628,L394,L394,L394,L394,L394,L394,L394,L455,L455,L455,L455,L455,L455,L455,L394,L1323,L1323,L1823,L1823,19115,19115,19115,19115,19115,19115,L628,L628,19115,19115,L455,L455,L1764,L634,L634	True
8	RESULT	RandomForestClassifier()	1	2080	2	0.6666666666666666	L394,L394,L394,L394,L394,L394,L394,L394,L394,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L628,L628,L628,L628,L628,L628,19115,19115,19115,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L455,L455,L455,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,L634,L634,L634,L634	True
9	RESULT	DummyClassifier()	1	2080	0	0.11940298507462686	L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L394,L394,L394,L394,L394,L634,L634,L634,L634,L634,L628,L628,L628,L628,L628,L628,L628,L628,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L394,L394,L394,L455,L455,L455,19115,19115,19115,19115	True
10	RESULT	DummyClassifier()	1	2080	1	0.11940298507462686	L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L1764,L1764,L634,L634,L634,L634,L634,L634,L1323,L1323,L1323,L1323,L1323,L1764,L1764,L1764,L1764,L1764,L628,L628,L628,L628,L628,L394,L394,L394,L394,L394,L394,L394,L455,L455,L455,L455,L455,L455,L455,L394,L1323,L1323,L1823,L1823,19115,19115,19115,19115,19115,19115,L628,L628,19115,19115,L455,L455,L1764,L634,L634	True
11	RESULT	DummyClassifier()	1	2080	2	0.12121212121212122	L394,L394,L394,L394,L394,L394,L394,L394,L394,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L628,L628,L628,L628,L628,L628,19115,19115,19115,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L455,L455,L455,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,L634,L634,L634,L634	True
12	RESULT	RandomForestClassifier()	1	2080	0	0.40298507462686567	L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L394,L394,L394,L394,L394,L634,L634,L634,L634,L634,L628,L628,L628,L628,L628,L628,L628,L628,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L394,L394,L394,L455,L455,L455,19115,19115,19115,19115	False
