feature	RandomForest(n=200, p=1.0)
counts(Norminten<0.11Normalized-SUMMARYCustomAlgos.tsv_max.txt	0.06419559421524026
min-SUMMARYCustomAlgos.tsv_std.txt	0.061217823724517464
minProp-SUMMARYCustomAlgos.tsv_min.txt	0.061156608364744215
min-SUMMARYCustomAlgos.tsv_var.txt	0.05536209243392562
counts(Norminten<0.14Normalized-SUMMARYCustomAlgos.tsv_max.txt	0.03166687132535106
counts(inten<0.060000000000000005-SUMMARYCustomAlgos.tsv_median.txt	0.020944558323430385
counts(Norminten<0.22-SUMMARYCustomAlgos.tsv_max.txt	0.018224019251739918
counts(Norminten<0.12Normalized-SUMMARYCustomAlgos.tsv_max.txt	0.01668255090666423
counts(Norminten<0.13Normalized-SUMMARYCustomAlgos.tsv_max.txt	0.016652028595659667
minProp-SUMMARYCustomAlgos.tsv_q10.txt	0.015962348358813584
counts(Norminten<0.12-SUMMARYCustomAlgos.tsv_max.txt	0.015387754303524313
counts(inten<0.08-SUMMARYCustomAlgos.tsv_median.txt	0.012698963460524309
counts(inten<0.06999999999999999-SUMMARYCustomAlgos.tsv_median.txt	0.009654506650696344
diff-SUMMARYCustomAlgos.tsv_median.txt	0.008780165089208607
stdNormalized-SUMMARYCustomAlgos.tsv_min.txt	0.008717007989654541
counts(Norminten<0.13-SUMMARYCustomAlgos.tsv_max.txt	0.008577910641772669
counts(Norminten<0.21000000000000002-SUMMARYCustomAlgos.tsv_max.txt	0.007957119218733134
counts(Norminten<0.05-SUMMARYCustomAlgos.tsv_q10.txt	0.007355386514301344
std-SUMMARYCustomAlgos.tsv_var.txt	0.007296391849750905
counts(inten<0.06999999999999999-SUMMARYCustomAlgos.tsv_var.txt	0.007256112391872973
counts(Norminten<0.29000000000000004-SUMMARYCustomAlgos.tsv_var.txt	0.006954139150834279
counts(Norminten<0.29000000000000004-SUMMARYCustomAlgos.tsv_std.txt	0.0066573545123953595
counts(inten<0.06999999999999999-SUMMARYCustomAlgos.tsv_max.txt	0.0059196765982451995
counts(Norminten<0.05-SUMMARYCustomAlgos.tsv_min.txt	0.005645370766479971
std-SUMMARYCustomAlgos.tsv_std.txt	0.005486548679402712
stdNormalized-SUMMARYCustomAlgos.tsv_q75.txt	0.005135758381697245
max-SUMMARYCustomAlgos.tsv_median.txt	0.0049515043196817245
counts(Norminten<0.29000000000000004Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.004834399441179214
counts(inten<0.06999999999999999-SUMMARYCustomAlgos.tsv_std.txt	0.004768314764378462
counts(inten<0.09999999999999999-SUMMARYCustomAlgos.tsv_q25.txt	0.00452691749859065
diff-SUMMARYCustomAlgos.tsv_q75.txt	0.004132663771893646
stdNormalized-SUMMARYCustomAlgos.tsv_q25.txt	0.004022086238011562
counts(Norminten<0.14-SUMMARYCustomAlgos.tsv_max.txt	0.003917133996209889
counts(inten<0.060000000000000005-SUMMARYCustomAlgos.tsv_q90.txt	0.0037509196035115356
counts(Norminten<0.09999999999999999-SUMMARYCustomAlgos.tsv_max.txt	0.0037227556717776143
counts(Norminten<0.060000000000000005-SUMMARYCustomAlgos.tsv_max.txt	0.003516958553910424
counts(Norminten<0.23-SUMMARYCustomAlgos.tsv_max.txt	0.0034278400384856657
counts(inten<0.06999999999999999-SUMMARYCustomAlgos.tsv_min.txt	0.0033099653989794434
counts(Norminten<0.11-SUMMARYCustomAlgos.tsv_max.txt	0.003267993888238567
medNormalized-SUMMARYCustomAlgos.tsv_std.txt	0.002872987155032766
std-SUMMARYCustomAlgos.tsv_mean.txt	0.0028489995072939313
counts(inten<0.060000000000000005Normalized-SUMMARYCustomAlgos.tsv_q90.txt	0.0027590866876968847
counts(Norminten<0.28Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.002724735807278906
minProp-SUMMARYCustomAlgos.tsv_q25.txt	0.0026951292029837076
counts(inten<0.060000000000000005-SUMMARYCustomAlgos.tsv_var.txt	0.0026520067834210044
diff-SUMMARYCustomAlgos.tsv_q90.txt	0.002561107962536877
minPropNormalized-SUMMARYCustomAlgos.tsv_q90.txt	0.0025127820548547244
counts(inten<0.060000000000000005-SUMMARYCustomAlgos.tsv_std.txt	0.002494906392672326
counts(Norminten<0.2-SUMMARYCustomAlgos.tsv_max.txt	0.002356748506939746
counts(inten<0.04-SUMMARYCustomAlgos.tsv_min.txt	0.0023353925914444172
counts(Norminten<0.05Normalized-SUMMARYCustomAlgos.tsv_q25.txt	0.0022720108318529776
counts(inten<0.060000000000000005-SUMMARYCustomAlgos.tsv_q75.txt	0.0022420317327160127
counts(Norminten<0.04-SUMMARYCustomAlgos.tsv_min.txt	0.002167388095862803
counts(Norminten<0.03Normalized-SUMMARYCustomAlgos.tsv_max.txt	0.002147687335687283
counts(Norminten<0.24000000000000002Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.0020429809691517743
counts(Norminten<0.09999999999999999Normalized-SUMMARYCustomAlgos.tsv_min.txt	0.00198351481433583
counts(inten<0.04-SUMMARYCustomAlgos.tsv_max.txt	0.0019679596743416338
